tab 	sites
citations	composite_depth	core_depth	geologic_classes	geologic_types	lithologies	location	site
This study	4.4	4.4	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-1.4
This study	4.45	4.45	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-1.45
This study	4.6	4.6	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.1
This study	4.65	4.65	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.15
This study	4.7	4.7	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.2
This study	4.75	4.75	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.25
This study	4.8	4.8	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.3
This study	4.85	4.85	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.35
This study	4.9	4.9	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.4
This study	4.95	4.95	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.45
This study	5	5	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.5
This study	5.05	5.05	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.55
This study	5.1	5.1	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.6
This study	5.15	5.15	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.65
This study	5.2	5.2	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.7
This study	5.25	5.25	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.75
This study	5.3	5.3	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.8
This study	5.35	5.35	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.85
This study	5.4	5.4	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.9
This study	5.45	5.45	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-0.95
This study	5.5	5.5	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-1
This study	5.55	5.55	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-1.05
This study	5.6	5.6	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-1.1
This study	5.65	5.65	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-1.15
This study	5.7	5.7	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-1.2
This study	5.75	5.75	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-1.25
This study	5.8	5.8	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-1.3
This study	5.85	5.85	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-1.35
This study	5.9	5.9	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-1.4
This study	5.95	5.95	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_4A-1.45
This study	6.1	6.1	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.1
This study	6.15	6.15	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.15
This study	6.2	6.2	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.2
This study	6.25	6.25	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.25
This study	6.3	6.3	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.3
This study	6.35	6.35	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.35
This study	6.4	6.4	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.4
This study	6.45	6.45	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.45
This study	6.5	6.5	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.5
This study	6.55	6.55	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.55
This study	6.6	6.6	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.6
This study	6.65	6.65	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.65
This study	6.7	6.7	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.7
This study	6.75	6.75	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.75
This study	6.8	6.8	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.8
This study	6.85	6.85	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.85
This study	6.9	6.9	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.9
This study	6.95	6.95	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-0.95
This study	7	7	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-1
This study	7.05	7.05	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-1.05
This study	7.1	7.1	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-1.1
This study	7.15	7.15	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-1.15
This study	7.2	7.2	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-1.2
This study	7.25	7.25	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-1.25
This study	7.3	7.3	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-1.3
This study	7.35	7.35	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-1.35
This study	7.4	7.4	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-1.4
This study	7.45	7.45	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_5A-1.45
This study	7.6	7.6	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.1
This study	7.65	7.65	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.15
This study	7.7	7.7	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.2
This study	7.75	7.75	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.25
This study	7.8	7.8	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.3
This study	7.85	7.85	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.35
This study	7.9	7.9	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.4
This study	7.95	7.95	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.45
This study	8	8	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.5
This study	8.05	8.05	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.55
This study	8.1	8.1	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.6
This study	8.15	8.15	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.65
This study	8.2	8.2	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.7
This study	8.25	8.25	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.75
This study	8.3	8.3	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.8
This study	8.35	8.35	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.85
This study	8.4	8.4	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.9
This study	8.45	8.45	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-0.95
This study	8.5	8.5	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-1
This study	8.55	8.55	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-1.05
This study	8.6	8.6	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-1.1
This study	8.65	8.65	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-1.15
This study	8.7	8.7	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-1.2
This study	8.75	8.75	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-1.25
This study	8.8	8.8	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-1.3
This study	8.85	8.85	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_6A-1.35
This study	14.64	14.64	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-4-W-114
This study	14.34	14.34	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-4-W-84
This study	14.44	14.44	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-4-W-94
This study	15.1	15.1	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-5-W-10
This study	16.08	16.08	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-5-W-108
This study	16.31	16.31	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-5-W-131
This study	15.25	15.25	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-5-W-25
This study	15.525	15.525	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-5-W-53
This study	15.84	15.84	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-5-W-84
This study	16.61	16.61	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-6-W-11
This study	17.68	17.68	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-6-W-118
This study	17.95	17.95	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-6-W-145
This study	16.9	16.9	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-6-W-40
This study	17.13	17.13	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-6-W-63
This study	17.41	17.41	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-6-W-91
This study	18.34	18.34	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-002H-7-W-34
This study	21.07	21.07	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-2-W-107
This study	20.12	20.12	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-2-W-12
This study	21.29	21.29	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-2-W-129
This study	20.32	20.32	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-2-W-32
This study	20.58	20.58	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-2-W-58
This study	20.8	20.8	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-2-W-80
This study	21.6	21.6	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-3-W-10
This study	22.5	22.5	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-3-W-100
This study	22.69	22.69	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-3-W-119
This study	22.85	22.85	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-3-W-135
This study	21.82	21.82	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-3-W-32
This study	22.1	22.1	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-3-W-60
This study	22.3	22.3	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-3-W-80
This study	24.2	24.2	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-4-W-120
This study	23.29	23.29	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-4-W-29
This study	23.05	23.05	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-4-W-5
This study	23.5	23.5	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-4-W-50
This study	23.84	23.84	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-4-W-84
This study	23.98	23.98	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-4-W-98
This study	25.62	25.62	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-5-W-112
This study	25.82	25.82	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-5-W-132
This study	24.79	24.79	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-5-W-29
This study	24.55	24.55	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-5-W-5
This study	25.03	25.03	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-5-W-53
This study	25.25	25.25	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-5-W-75
This study	25.39	25.39	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-5-W-89
This study	26.66	26.66	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-6-W-66
This study	27.81	27.81	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-003H-7-W-50
This study	30.31	30.31	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H-2-W-81
This study	31.81	31.81	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H-3-W-81
This study	33.19	33.19	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H-4-W-69
This study	34.7	34.7	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H-5-W-70
This study	36.13	36.13	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H-6-W-63
This study	29.6	29.6	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.1
This study	29.65	29.65	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.15
This study	29.7	29.7	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.2
This study	29.75	29.75	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.25
This study	29.8	29.8	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.3
This study	29.85	29.85	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.35
This study	29.9	29.9	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.4
This study	29.95	29.95	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.45
This study	30	30	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.5
This study	30.05	30.05	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.55
This study	30.1	30.1	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.6
This study	30.15	30.15	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.65
This study	30.2	30.2	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.7
This study	30.25	30.25	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.75
This study	30.3	30.3	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.8
This study	30.35	30.35	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.85
This study	30.4	30.4	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.9
This study	30.45	30.45	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-0.95
This study	30.5	30.5	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-1
This study	30.55	30.55	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-1.05
This study	30.6	30.6	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-1.1
This study	30.65	30.65	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-1.15
This study	30.7	30.7	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-1.2
This study	30.75	30.75	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_2A-1.25
This study	31.1	31.1	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_3A-0.1
This study	31.15	31.15	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-004H_3A-0.15
