tab	er_samples
er_citation_names	er_sample_name	er_site_name	er_location_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	er_expedition_name	sample_core_depth	sample_azimuth	sample_dip	sample_date	magic_method_codes	sample_composite_depth	er_sample_alternatives
This study	318-U1361A-001H_4A-1.2	318-U1361A-001H_4A-1.2	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.7	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.7	nan
This study	318-U1361A-001H_4A-1.25	318-U1361A-001H_4A-1.25	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.75	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.75	nan
This study	318-U1361A-001H_4A-1.3	318-U1361A-001H_4A-1.3	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.8	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.8	nan
This study	318-U1361A-001H_4A-1.35	318-U1361A-001H_4A-1.35	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.85	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.85	nan
This study	318-U1361A-001H_4A-1.4	318-U1361A-001H_4A-1.4	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.9	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.9	nan
This study	318-U1361A-001H_4A-1.45	318-U1361A-001H_4A-1.45	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.95	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.95	nan
This study	318-U1361A-001H_5A-0.1	318-U1361A-001H_5A-0.1	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.1	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.1	nan
This study	318-U1361A-001H_5A-0.15	318-U1361A-001H_5A-0.15	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.15	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.15	nan
This study	318-U1361A-001H_5A-0.2	318-U1361A-001H_5A-0.2	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.2	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.2	nan
This study	318-U1361A-001H_5A-0.25	318-U1361A-001H_5A-0.25	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.25	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.25	nan
This study	318-U1361A-001H_5A-0.3	318-U1361A-001H_5A-0.3	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.3	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.3	nan
This study	318-U1361A-001H_5A-0.35	318-U1361A-001H_5A-0.35	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.35	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.35	nan
This study	318-U1361A-001H_5A-0.4	318-U1361A-001H_5A-0.4	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.4	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.4	nan
This study	318-U1361A-001H_5A-0.45	318-U1361A-001H_5A-0.45	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.45	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.45	nan
This study	318-U1361A-001H_5A-0.5	318-U1361A-001H_5A-0.5	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.5	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.5	nan
This study	318-U1361A-001H_5A-0.55	318-U1361A-001H_5A-0.55	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.55	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.55	nan
This study	318-U1361A-001H_5A-0.6	318-U1361A-001H_5A-0.6	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.6	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.6	nan
This study	318-U1361A-001H_5A-0.65	318-U1361A-001H_5A-0.65	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.65	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.65	nan
This study	318-U1361A-001H_5A-0.7	318-U1361A-001H_5A-0.7	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.7	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.7	nan
This study	318-U1361A-001H_5A-0.75	318-U1361A-001H_5A-0.75	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.75	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.75	nan
This study	318-U1361A-001H_5A-0.8	318-U1361A-001H_5A-0.8	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.8	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.8	nan
