Sample ID	Meas. type	Treatment Type	AF X	AF Y	AF Z	Temp C	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Intensity	MS corr	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	X mean	Y mean	Z mean	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Depth	IRM Gauss	ARM Gauss	ARM axis	Area
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	52.60	79.25	52.60	79.25	52.60	79.25	3.8407E-6	NA	0.00	90.00	0.00	0.00	7.8078E-6	1.0186E-5	9.4839E-5	8.0543E-6	1.0024E-5	9.4785E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.26	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	43.07	76.42	43.07	76.42	43.07	76.42	3.8316E-6	NA	0.00	90.00	0.00	0.00	1.1922E-5	1.0990E-5	9.3612E-5	1.2168E-5	1.0823E-5	9.3559E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.27	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	38.28	73.91	38.28	73.91	38.28	73.91	3.8360E-6	NA	0.00	90.00	0.00	0.00	1.5202E-5	1.1770E-5	9.2639E-5	1.5447E-5	1.1602E-5	9.2587E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.28	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	34.38	72.01	34.38	72.01	34.38	72.01	3.8061E-6	NA	0.00	90.00	0.00	0.00	1.7718E-5	1.1862E-5	9.0984E-5	1.7964E-5	1.1695E-5	9.0933E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.29	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	29.29	70.19	29.29	70.19	29.29	70.19	3.7315E-6	NA	0.00	90.00	0.00	0.00	2.0172E-5	1.1065E-5	8.8238E-5	2.0419E-5	1.0899E-5	8.8188E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.30	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	24.10	68.29	24.10	68.29	24.10	68.29	3.6597E-6	NA	0.00	90.00	0.00	0.00	2.2632E-5	9.9046E-6	8.5458E-5	2.2880E-5	9.7380E-6	8.5410E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.31	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	21.27	66.80	21.27	66.80	21.27	66.80	3.6358E-6	NA	0.00	90.00	0.00	0.00	2.4460E-5	9.3197E-6	8.3994E-5	2.4708E-5	9.1513E-6	8.3947E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.32	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	22.15	66.51	22.15	66.51	22.15	66.51	3.6545E-6	NA	0.00	90.00	0.00	0.00	2.4725E-5	9.8427E-6	8.4244E-5	2.4972E-5	9.6729E-6	8.4196E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.33	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	26.43	67.31	26.43	67.31	26.43	67.31	3.6954E-6	NA	0.00	90.00	0.00	0.00	2.3379E-5	1.1346E-5	8.5696E-5	2.3626E-5	1.1174E-5	8.5647E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.34	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	32.72	68.34	32.72	68.34	32.72	68.34	3.7552E-6	NA	0.00	90.00	0.00	0.00	2.1345E-5	1.3374E-5	8.7718E-5	2.1589E-5	1.3199E-5	8.7669E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.35	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	40.00	68.80	40.00	68.80	40.00	68.80	3.8438E-6	NA	0.00	90.00	0.00	0.00	1.9472E-5	1.5920E-5	9.0067E-5	1.9714E-5	1.5742E-5	9.0019E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.36	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	49.05	68.33	49.05	68.33	49.05	68.33	3.9752E-6	NA	0.00	90.00	0.00	0.00	1.7566E-5	1.9704E-5	9.2850E-5	1.7807E-5	1.9527E-5	9.2803E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.37	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	59.83	66.99	59.83	66.99	59.83	66.99	4.1442E-6	NA	0.00	90.00	0.00	0.00	1.4826E-5	2.4840E-5	9.5869E-5	1.5068E-5	2.4669E-5	9.5823E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.38	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	71.58	65.00	71.58	65.00	71.58	65.00	4.3597E-6	NA	0.00	90.00	0.00	0.00	1.0534E-5	3.0956E-5	9.9307E-5	1.0777E-5	3.0790E-5	9.9258E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.39	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	81.15	63.03	81.15	63.03	81.15	63.03	4.5766E-6	NA	0.00	90.00	0.00	0.00	5.6692E-6	3.6285E-5	1.0251E-4	5.9143E-6	3.6129E-5	1.0246E-4	0.0000E+0	0.0000E+0	0.0000E+0	0.40	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	87.76	61.61	87.76	61.61	87.76	61.61	4.7255E-6	NA	0.00	90.00	0.00	0.00	1.3794E-6	3.9706E-5	1.0448E-4	1.6269E-6	3.9552E-5	1.0443E-4	0.0000E+0	0.0000E+0	0.0000E+0	0.41	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	91.14	60.94	91.14	60.94	91.14	60.94	4.7514E-6	NA	0.00	90.00	0.00	0.00	-1.1002E-6	4.0804E-5	1.0438E-4	-8.5000E-7	4.0651E-5	1.0433E-4	0.0000E+0	0.0000E+0	0.0000E+0	0.42	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	91.12	60.78	91.12	60.78	91.12	60.78	4.6342E-6	NA	0.00	90.00	0.00	0.00	-1.0686E-6	3.9990E-5	1.0165E-4	-8.1702E-7	3.9838E-5	1.0160E-4	0.0000E+0	0.0000E+0	0.0000E+0	0.43	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	88.70	60.98	88.70	60.98	88.70	60.98	4.3973E-6	NA	0.00	90.00	0.00	0.00	6.4906E-7	3.7726E-5	9.6642E-5	8.9930E-7	3.7574E-5	9.6587E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.44	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	85.67	61.49	85.67	61.49	85.67	61.49	4.0941E-6	NA	0.00	90.00	0.00	0.00	2.4834E-6	3.4478E-5	9.0432E-5	2.7309E-6	3.4326E-5	9.0374E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.45	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	83.54	62.25	83.54	62.25	83.54	62.25	3.7426E-6	NA	0.00	90.00	0.00	0.00	3.3844E-6	3.0657E-5	8.3262E-5	3.6281E-6	3.0504E-5	8.3201E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.46	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	83.72	62.98	83.72	62.98	83.72	62.98	3.3494E-6	NA	0.00	90.00	0.00	0.00	2.8427E-6	2.6807E-5	7.5012E-5	3.0811E-6	2.6649E-5	7.4951E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.47	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	86.44	63.42	86.44	63.42	86.44	63.42	2.9883E-6	NA	0.00	90.00	0.00	0.00	1.2974E-6	2.3670E-5	6.7193E-5	1.5354E-6	2.3511E-5	6.7132E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.48	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	90.17	64.00	90.17	64.00	90.17	64.00	2.7028E-6	NA	0.00	90.00	0.00	0.00	-3.0464E-7	2.1034E-5	6.1086E-5	-6.4260E-8	2.0870E-5	6.1026E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.49	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	90.43	65.39	90.43	65.39	90.43	65.39	2.5713E-6	NA	0.00	90.00	0.00	0.00	-3.9576E-7	1.9030E-5	5.8790E-5	-1.4960E-7	1.8860E-5	5.8726E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.50	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	82.21	67.03	82.21	67.03	82.21	67.03	2.5935E-6	NA	0.00	90.00	0.00	0.00	2.2879E-6	1.7841E-5	6.0053E-5	2.5388E-6	1.7669E-5	5.9982E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.51	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	62.36	66.37	62.36	66.37	62.36	66.37	2.7783E-6	NA	0.00	90.00	0.00	0.00	9.3112E-6	1.7550E-5	6.4021E-5	9.5666E-6	1.7380E-5	6.3939E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.52	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	42.49	61.58	42.49	61.58	42.49	61.58	3.1308E-6	NA	0.00	90.00	0.00	0.00	2.0089E-5	1.7897E-5	6.9257E-5	2.0343E-5	1.7733E-5	6.9165E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.53	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	31.41	56.39	31.41	56.39	31.41	56.39	3.5724E-6	NA	0.00	90.00	0.00	0.00	3.0991E-5	1.8311E-5	7.4835E-5	3.1239E-5	1.8152E-5	7.4740E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.54	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	26.71	54.15	26.71	54.15	26.71	54.15	3.8813E-6	NA	0.00	90.00	0.00	0.00	3.7355E-5	1.8158E-5	7.9116E-5	3.7596E-5	1.7998E-5	7.9023E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.55	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	25.19	54.53	25.19	54.53	25.19	54.53	3.9399E-6	NA	0.00	90.00	0.00	0.00	3.8062E-5	1.7303E-5	8.0694E-5	3.8298E-5	1.7140E-5	8.0604E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.56	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	26.44	57.19	26.44	57.19	26.44	57.19	3.7857E-6	NA	0.00	90.00	0.00	0.00	3.3766E-5	1.6247E-5	8.0017E-5	3.3999E-5	1.6087E-5	7.9929E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.57	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	30.52	61.39	30.52	61.39	30.52	61.39	3.6320E-6	NA	0.00	90.00	0.00	0.00	2.7504E-5	1.5718E-5	8.0181E-5	2.7736E-5	1.5562E-5	8.0095E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.58	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	38.18	65.51	38.18	65.51	38.18	65.51	3.6569E-6	NA	0.00	90.00	0.00	0.00	2.1822E-5	1.6655E-5	8.3683E-5	2.2056E-5	1.6502E-5	8.3600E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.59	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	50.39	68.07	50.39	68.07	50.39	68.07	3.8512E-6	NA	0.00	90.00	0.00	0.00	1.6736E-5	1.9666E-5	8.9821E-5	1.6975E-5	1.9519E-5	8.9742E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.60	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	66.06	68.77	66.06	68.77	66.06	68.77	4.1003E-6	NA	0.00	90.00	0.00	0.00	1.0911E-5	2.4054E-5	9.6083E-5	1.1155E-5	2.3907E-5	9.6010E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.61	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	81.17	68.01	81.17	68.01	81.17	68.01	4.3052E-6	NA	0.00	90.00	0.00	0.00	4.3316E-6	2.8212E-5	1.0035E-4	4.5795E-6	2.8062E-5	1.0028E-4	0.0000E+0	0.0000E+0	0.0000E+0	0.62	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	93.17	67.51	93.17	67.51	93.17	67.51	4.3731E-6	NA	0.00	90.00	0.00	0.00	-1.9594E-6	2.9572E-5	1.0156E-4	-1.7112E-6	2.9419E-5	1.0150E-4	0.0000E+0	0.0000E+0	0.0000E+0	0.63	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	103.92	68.82	103.92	68.82	103.92	68.82	4.2997E-6	NA	0.00	90.00	0.00	0.00	-7.1635E-6	2.6717E-5	1.0077E-4	-6.9170E-6	2.6565E-5	1.0071E-4	0.0000E+0	0.0000E+0	0.0000E+0	0.64	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	114.16	71.80	114.16	71.80	114.16	71.80	4.1633E-6	NA	0.00	90.00	0.00	0.00	-1.0099E-5	2.1056E-5	9.9402E-5	-9.8546E-6	2.0904E-5	9.9347E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.65	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	122.72	75.34	122.72	75.34	122.72	75.34	4.0476E-6	NA	0.00	90.00	0.00	0.00	-1.0492E-5	1.5327E-5	9.8423E-5	-1.0248E-5	1.5177E-5	9.8368E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.66	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	119.93	78.96	119.93	78.96	119.93	78.96	4.0054E-6	NA	0.00	90.00	0.00	0.00	-7.3277E-6	1.1855E-5	9.8811E-5	-7.0829E-6	1.1706E-5	9.8755E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.67	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	87.91	80.44	87.91	80.44	87.91	80.44	4.1106E-6	NA	0.00	90.00	0.00	0.00	2.1488E-7	1.2167E-5	1.0188E-4	4.6070E-7	1.2016E-5	1.0183E-4	0.0000E+0	0.0000E+0	0.0000E+0	0.68	NA	NA	NA	4.00
