tab	specimens
specimen	sample	dir_alpha95	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dec	dir_inc	dir_k	dir_k_ratio	dir_n_comps	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lithologies	description	scientists	int_rel	citations	method_codes	result_quality	result_type	specimen_alternatives	volume	weight
15-1-115	15-1-115					344.2	-11.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0004927	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-115	15-1-115															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3142.0	1e-06	0.001866
15-1-118	15-1-118															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3143.0	1e-06	0.001877
15-1-118	15-1-118					3.2	66.0									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.00046449999999999996	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-122	15-1-122															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3144.0	1e-06	0.00148
15-1-122	15-1-122					172.6	76.8									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001265	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-125	15-1-125					179.0	58.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002121	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-125	15-1-125															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3145.0	1e-06	0.001836
15-1-128	15-1-128															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3146.0	1e-06	0.001231
15-1-128	15-1-128					165.7	65.2									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001434	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-131	15-1-131					114.4	72.0									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001101	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-131	15-1-131															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3147.0	1e-06	0.001604
15-1-134	15-1-134															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3148.0	1e-06	0.001241
15-1-134	15-1-134					171.8	72.7									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001359	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-137	15-1-137															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3149.0	1e-06	0.0014939999999999999
15-1-137	15-1-137					189.5	73.2									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001248	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-140	15-1-140					155.8	89.1									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0008627000000000001	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-140	15-1-140															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3150.0	1e-06	0.001516
15-1-144	15-1-144															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3151.0	1e-06	0.0016309999999999999
15-1-144	15-1-144					198.6	72.3									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0009647999999999999	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-147	15-1-147															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3152.0	1e-06	0.001686
15-1-147	15-1-147					185.4	70.0									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001449	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-149	15-1-149															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3153.0	1e-06	0.001106
