tab	samples
citations	location	sample	site	method_codes	sample_core_depth
This study	DSDP Site 522	15-3-004	15-3-004	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.14
This study	DSDP Site 522	15-3-007	15-3-007	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.17
This study	DSDP Site 522	15-3-010	15-3-010	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.2
This study	DSDP Site 522	15-3-013	15-3-013	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.23
This study	DSDP Site 522	15-3-015	15-3-015	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.25
This study	DSDP Site 522	15-3-019	15-3-019	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.29
This study	DSDP Site 522	15-3-022	15-3-022	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.32
This study	DSDP Site 522	15-3-025	15-3-025	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.34
This study	DSDP Site 522	15-3-028	15-3-028	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.38
This study	DSDP Site 522	15-3-031	15-3-031	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.41
This study	DSDP Site 522	15-3-035	15-3-035	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.44
This study	DSDP Site 522	15-3-038	15-3-038	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.47
This study	DSDP Site 522	15-3-041	15-3-041	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.5
This study	DSDP Site 522	15-3-044	15-3-044	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.53
This study	DSDP Site 522	15-3-047	15-3-047	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.56
This study	DSDP Site 522	15-3-051	15-3-051	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.61
This study	DSDP Site 522	15-3-054	15-3-054	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.63
This study	DSDP Site 522	15-3-057	15-3-057	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.66
This study	DSDP Site 522	15-3-061	15-3-061	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.71
This study	DSDP Site 522	15-3-064	15-3-064	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.73
This study	DSDP Site 522	15-3-067	15-3-067	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.76
This study	DSDP Site 522	15-3-071	15-3-071	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.8
This study	DSDP Site 522	15-3-075	15-3-075	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.84
This study	DSDP Site 522	15-3-078	15-3-078	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.87
This study	DSDP Site 522	15-3-080	15-3-080	FS-C-DRILL-IODP:SP-SS-C:SO-V	58.9
