tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_name	magic_method_codes	specimen_alteration	specimen_alteration_type	specimen_azimuth	specimen_class	specimen_dip	specimen_lithology	specimen_type
This study	Nading Co	07ND168	Peter C. Lippert	NDC-20	07ND168a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	284.53	Extrusive : Igneous : Subaerial	39	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND169	Peter C. Lippert	NDC-20	07ND169a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	279.53	Extrusive : Igneous : Subaerial	44	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND170	Peter C. Lippert	NDC-20	07ND170a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	277.53	Extrusive : Igneous : Subaerial	37	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND171	Peter C. Lippert	NDC-20	07ND171a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	276.53	Extrusive : Igneous : Subaerial	37	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND172	Peter C. Lippert	NDC-20	07ND172a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	297.53	Extrusive : Igneous : Subaerial	37	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND173	Peter C. Lippert	NDC-21	07ND173a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	165.53	Extrusive : Igneous : Subaerial	27	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND174	Peter C. Lippert	NDC-21	07ND174a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	148.53	Extrusive : Igneous : Subaerial	33	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND175	Peter C. Lippert	NDC-21	07ND175a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	123.13	Extrusive : Igneous : Subaerial	39	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND176	Peter C. Lippert	NDC-21	07ND176a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	142.53	Extrusive : Igneous : Subaerial	53	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND177	Peter C. Lippert	NDC-21	07ND177a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	139.53	Extrusive : Igneous : Subaerial	54	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND177	Peter C. Lippert	NDC-21	07ND177b	LP-DC4:LP-DIR-T	Unaltered	Weathering	139.53	Extrusive : Igneous : Subaerial	54	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND178	Peter C. Lippert	NDC-21	07ND178a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	87.53	Extrusive : Igneous : Subaerial	42	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND179	Peter C. Lippert	NDC-21	07ND179a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	141.53	Extrusive : Igneous : Subaerial	52	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND180	Peter C. Lippert	NDC-21	07ND180a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	82.53	Extrusive : Igneous : Subaerial	34	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND181	Peter C. Lippert	NDC-22	07ND181a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	195.53	Extrusive : Igneous : Subaerial	29	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND182	Peter C. Lippert	NDC-22	07ND182a	LP-DC3:LP-DIR-AF	Unaltered	Weathering	198.53	Extrusive : Igneous : Subaerial	17	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND183	Peter C. Lippert	NDC-22	07ND183a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	205.53	Extrusive : Igneous : Subaerial	21	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND184	Peter C. Lippert	NDC-22	07ND184a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	172.53	Extrusive : Igneous : Subaerial	40	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND185	Peter C. Lippert	NDC-22	07ND185a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	161.53	Extrusive : Igneous : Subaerial	25	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND187	Peter C. Lippert	NDC-22	07ND187a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	157.53	Extrusive : Igneous : Subaerial	18	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND188	Peter C. Lippert	NDC-22	07ND188a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	175.53	Extrusive : Igneous : Subaerial	32	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND189	Peter C. Lippert	NDC-23	07ND189a	LP-DC3:LP-DIR-AF	Unaltered	Weathering	207.23	Extrusive : Igneous : Subaerial	18	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND190	Peter C. Lippert	NDC-23	07ND190a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	219.93	Extrusive : Igneous : Subaerial	18	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND191	Peter C. Lippert	NDC-23	07ND191a	LP-DC3:LP-DIR-AF	Unaltered	Weathering	218.53	Extrusive : Igneous : Subaerial	22	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND193	Peter C. Lippert	NDC-23	07ND193a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	129.83	Extrusive : Igneous : Subaerial	38	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND194	Peter C. Lippert	NDC-23	07ND194a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	83.63	Extrusive : Igneous : Subaerial	22	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND195	Peter C. Lippert	NDC-24	07ND195a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	29.63	Extrusive : Igneous : Subaerial	30	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND196	Peter C. Lippert	NDC-24	07ND196a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	92.73	Extrusive : Igneous : Subaerial	30	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND197	Peter C. Lippert	NDC-24	07ND197a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	154.43	Extrusive : Igneous : Subaerial	33	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND198	Peter C. Lippert	NDC-24	07ND198a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	37.53	Extrusive : Igneous : Subaerial	57	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND199	Peter C. Lippert	NDC-24	07ND199a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	65.33	Extrusive : Igneous : Subaerial	33	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND200	Peter C. Lippert	NDC-24	07ND200a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	31.03	Extrusive : Igneous : Subaerial	59	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND201	Peter C. Lippert	NDC-25	07ND201a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	61.33	Extrusive : Igneous : Subaerial	47	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND202	Peter C. Lippert	NDC-25	07ND202a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	57.13	Extrusive : Igneous : Subaerial	40	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND203	Peter C. Lippert	NDC-25	07ND203a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	66.53	Extrusive : Igneous : Subaerial	44	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND204	Peter C. Lippert	NDC-25	07ND204a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	62.93	Extrusive : Igneous : Subaerial	51	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND205	Peter C. Lippert	NDC-25	07ND205a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	46.83	Extrusive : Igneous : Subaerial	23	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND206	Peter C. Lippert	NDC-25	07ND206a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	140.53	Extrusive : Igneous : Subaerial	65	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND206	Peter C. Lippert	NDC-25	07ND206b	LP-DC4:LP-DIR-T	Unaltered	Weathering	140.53	Extrusive : Igneous : Subaerial	65	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
