tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	magn_volume	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	timestamp	magn_moment
KO_86.10_LP-DIR-AF11	KO_86.10_LP-DIR-AF	KO_86.10	0.99	299.841199759666	-5.342614489907089	 8.000e-02	0	0.00	0.00	11	273	0.0049403323214852685	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	25	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	5.187348937559532e-08
KO_86.10_LP-DIR-AF12	KO_86.10_LP-DIR-AF	KO_86.10	0.99	265.22871045941594	2.5308910688973567	 9.000e-02	0	0.00	0.00	12	273	0.023724321838822247	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	26	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	2.491053793076336e-07
KO_86.10_LP-DIR-AF13	KO_86.10_LP-DIR-AF	KO_86.10	0.99	266.4347780724027	2.936835651765721	 1.000e-01	0	0.00	0.00	13	273	0.03067099200493674	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	27	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	3.2204541605183577e-07
KO_86.11_LP-DIR-AF0	KO_86.11_LP-DIR-AF	KO_86.11	0.99	144.408482927205	-26.987572030788822	 0.000e+00	0	0.00	0.00	0	273	0.006610882253703782	This study	Utrecht_ 2G DC	LT-NO:LP-DIR-AF	g	28	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	6.941426366388971e-08
KO_86.11_LP-DIR-AF1	KO_86.11_LP-DIR-AF	KO_86.11	0.99	145.21336845254137	-27.39998050731357	 5.000e-03	0	0.00	0.00	1	273	0.006374047436725238	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	29	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	6.6927498085615e-08
KO_86.11_LP-DIR-AF2	KO_86.11_LP-DIR-AF	KO_86.11	0.99	145.5227975883917	-26.187059942998694	 1.000e-02	0	0.00	0.00	2	273	0.00599954646811984	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	30	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	6.299523791525832e-08
KO_86.11_LP-DIR-AF3	KO_86.11_LP-DIR-AF	KO_86.11	0.99	146.42948530940978	-25.447393157444367	 1.500e-02	0	0.00	0.00	3	273	0.00560768827597019	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	31	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	5.888072689768699e-08
KO_86.11_LP-DIR-AF4	KO_86.11_LP-DIR-AF	KO_86.11	0.99	147.519766241732	-24.45169396817694	 2.000e-02	0	0.00	0.00	4	273	0.005084875978705957	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	32	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	5.3391197776412546e-08
KO_86.11_LP-DIR-AF5	KO_86.11_LP-DIR-AF	KO_86.11	0.99	147.67386000562314	-22.90449434272672	 2.500e-02	0	0.00	0.00	5	273	0.004698327970064001	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	33	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	4.9332443685672006e-08
KO_86.11_LP-DIR-AF6	KO_86.11_LP-DIR-AF	KO_86.11	0.99	147.61638238992302	-22.22195572579762	 3.000e-02	0	0.00	0.00	6	273	0.004129886647212108	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	34	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	4.336380979572713e-08
KO_86.11_LP-DIR-AF7	KO_86.11_LP-DIR-AF	KO_86.11	0.99	149.74356283647072	-21.895052797490486	 4.000e-02	0	0.00	0.00	7	273	0.0034222693403123203	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	35	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	3.593382807327936e-08
KO_86.11_LP-DIR-AF8	KO_86.11_LP-DIR-AF	KO_86.11	0.99	152.60975802996714	-23.673908751103514	 5.000e-02	0	0.00	0.00	8	273	0.0022603972921518348	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	36	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	2.3734171567594264e-08
KO_86.11_LP-DIR-AF9	KO_86.11_LP-DIR-AF	KO_86.11	0.99	188.37627638201923	-23.643765428444784	 6.000e-02	0	0.00	0.00	9	273	0.0013345956609517701	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	37	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	1.4013254439993587e-08
KO_86.11_LP-DIR-AF10	KO_86.11_LP-DIR-AF	KO_86.11	0.99	254.9773951023027	-6.611018560771423	 7.000e-02	0	0.00	0.00	10	273	0.0021342670150686343	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	38	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	2.2409803658220658e-08
KO_86.11_LP-DIR-AF11	KO_86.11_LP-DIR-AF	KO_86.11	0.99	282.92176356859176	-1.7631505218733305	 8.000e-02	0	0.00	0.00	11	273	0.003089178690136237	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	39	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	3.2436376246430486e-08
KO_86.11_LP-DIR-AF12	KO_86.11_LP-DIR-AF	KO_86.11	0.99	271.83283950594205	0.9018723563410681	 9.000e-02	0	0.00	0.00	12	273	0.007623892031319398	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	40	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	8.005086632885367e-08
KO_86.11_LP-DIR-AF13	KO_86.11_LP-DIR-AF	KO_86.11	0.99	275.1749339171591	2.098520874447536	 1.000e-01	0	0.00	0.00	13	273	0.01014335791296782	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	41	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	1.065052580861621e-07
KO_86.12_LP-DIR-AF0	KO_86.12_LP-DIR-AF	KO_86.12	0.99	151.7366496665858	-31.570640665352897	 0.000e+00	0	0.00	0.00	0	273	0.009277334436160143	This study	Utrecht_ 2G DC	LT-NO:LP-DIR-AF	g	42	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	9.741201157968149e-08
KO_86.12_LP-DIR-AF1	KO_86.12_LP-DIR-AF	KO_86.12	0.99	150.9383562425834	-32.67376738941219	 5.000e-03	0	0.00	0.00	1	273	0.008944200923432464	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	43	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	9.391410969604087e-08
KO_86.12_LP-DIR-AF2	KO_86.12_LP-DIR-AF	KO_86.12	0.99	149.8929143080922	-32.28127539765992	 1.000e-02	0	0.00	0.00	2	273	0.008399017327252758	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	44	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	8.818968193615395e-08
KO_86.12_LP-DIR-AF3	KO_86.12_LP-DIR-AF	KO_86.12	0.99	149.2739839272195	-31.702556723860976	 1.500e-02	0	0.00	0.00	3	273	0.007865380962615532	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	45	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	8.258650010746308e-08
KO_86.12_LP-DIR-AF4	KO_86.12_LP-DIR-AF	KO_86.12	0.99	149.1565493898363	-31.089535689300956	 2.000e-02	0	0.00	0.00	4	273	0.00726674779958452	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	46	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	7.630085189563745e-08
KO_86.12_LP-DIR-AF5	KO_86.12_LP-DIR-AF	KO_86.12	0.99	148.71327180695252	-30.119210632493676	 2.500e-02	0	0.00	0.00	5	273	0.006699680162941682	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	47	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	7.034664171088766e-08
KO_86.12_LP-DIR-AF6	KO_86.12_LP-DIR-AF	KO_86.12	0.99	147.67316967007474	-29.341398411064205	 3.000e-02	0	0.00	0.00	6	273	0.005986242731531718	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	48	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	6.285554868108304e-08
KO_86.12_LP-DIR-AF7	KO_86.12_LP-DIR-AF	KO_86.12	0.99	146.59445293859267	-27.540547514835794	 4.000e-02	0	0.00	0.00	7	273	0.004799225183118276	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	49	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	5.039186442274189e-08
KO_86.12_LP-DIR-AF8	KO_86.12_LP-DIR-AF	KO_86.12	0.99	144.7632669692111	-27.378293399201077	 5.000e-02	0	0.00	0.00	8	273	0.0030858024678757875	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	50	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	3.240092591269577e-08
KO_86.12_LP-DIR-AF9	KO_86.12_LP-DIR-AF	KO_86.12	0.99	169.10507017534064	-42.20877612370653	 6.000e-02	0	0.00	0.00	9	273	0.0011836823285304564	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	51	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	1.2428664449569793e-08
KO_86.12_LP-DIR-AF10	KO_86.12_LP-DIR-AF	KO_86.12	0.99	269.4885439438889	-12.992075460091932	 7.000e-02	0	0.00	0.00	10	273	0.00200375246388069	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	52	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	2.1039400870747245e-08
