tab 	specimens
sample	specimen
21-1-113	21-1-113
21-1-115	21-1-115
21-1-118	21-1-118
21-1-122	21-1-122
21-1-124	21-1-124
21-1-127	21-1-127
21-1-131	21-1-131
21-1-134	21-1-134
21-1-138	21-1-138
21-1-142	21-1-142
21-1-145	21-1-145
21-1-148	21-1-148
21-2-001	21-2-001
21-2-008	21-2-008
21-2-011	21-2-011
21-2-014	21-2-014
21-2-016	21-2-016
21-2-021	21-2-021
21-2-023	21-2-023
21-2-026	21-2-026
21-2-029	21-2-029
21-2-032	21-2-032
21-2-035	21-2-035
21-2-040	21-2-040
21-2-044	21-2-044
21-2-047	21-2-047
21-2-051	21-2-051
21-2-055	21-2-055
21-2-057	21-2-057
21-2-061	21-2-061
21-2-063	21-2-063
21-2-066	21-2-066
21-2-069	21-2-069
21-2-073	21-2-073
21-2-077	21-2-077
21-2-080	21-2-080
21-2-083	21-2-083
21-2-086	21-2-086
21-2-089	21-2-089
21-2-093	21-2-093
21-2-097	21-2-097
21-2-100	21-2-100
21-2-104	21-2-104
21-2-107	21-2-107
21-2-111	21-2-111
21-2-113	21-2-113
21-2-116	21-2-116
21-2-123	21-2-123
21-2-125	21-2-125
21-2-129	21-2-129
21-2-133	21-2-133
21-2-136	21-2-136
21-2-139	21-2-139
21-2-143	21-2-143
21-2-146	21-2-146
21-2-149	21-2-149
21-2-150	21-2-150
21-3-001	21-3-001
21-3-005	21-3-005
21-3-008	21-3-008
21-3-011	21-3-011
21-3-015	21-3-015
21-3-018	21-3-018
21-3-021	21-3-021
21-3-026	21-3-026
21-3-029	21-3-029
21-3-033	21-3-033
21-3-036	21-3-036
21-3-038	21-3-038
21-3-043	21-3-043
21-3-046	21-3-046
21-3-048	21-3-048
21-3-051	21-3-051
21-3-055	21-3-055
21-3-058	21-3-058
21-3-061	21-3-061
21-3-064	21-3-064
21-3-067	21-3-067
21-3-071	21-3-071
21-3-074	21-3-074
21-3-077	21-3-077
21-3-079	21-3-079
21-3-083	21-3-083
21-3-086	21-3-086
21-3-089	21-3-089
21-3-092	21-3-092
21-3-096	21-3-096
21-3-100	21-3-100
21-3-103	21-3-103
21-3-106	21-3-106
21-3-109	21-3-109
22-1-045	22-1-045
22-1-051	22-1-051
22-1-054	22-1-054
22-1-061	22-1-061
22-1-064	22-1-064
22-1-068	22-1-068
22-1-071	22-1-071
22-1-074	22-1-074
22-1-077	22-1-077
22-1-081	22-1-081
22-1-084	22-1-084
