tab	sites
site	location	age_unit	composite_depth	core_depth	height	lat	lon	geologic_classes	geologic_types	lithologies	citations	method_codes	result_quality	result_type
318-U1361A-001H_2A-1.3	U1361A		2.8	2.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_2A-1.35	U1361A		2.85	2.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_2A-1.4	U1361A		2.9	2.9		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_2A-1.45	U1361A		2.95	2.95		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.1	U1361A		3.1	3.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.15	U1361A		3.15	3.15		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.2	U1361A		3.2	3.2		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.25	U1361A		3.25	3.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.3	U1361A		3.3	3.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.35	U1361A		3.35	3.35		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.4	U1361A		3.4	3.4		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.45	U1361A		3.45	3.45		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.5	U1361A		3.5	3.5		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.55	U1361A		3.55	3.55		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.6	U1361A		3.6	3.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.65	U1361A		3.65	3.65		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.7	U1361A		3.7	3.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.75	U1361A		3.75	3.75		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.8	U1361A		3.8	3.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.85	U1361A		3.85	3.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.9	U1361A		3.9	3.9		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-0.95	U1361A		3.95	3.95		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-1	U1361A		4.0	4.0		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-1.05	U1361A		4.05	4.05		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-1.1	U1361A		4.1	4.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-1.15	U1361A		4.15	4.15		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-1.2	U1361A		4.2	4.2		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-1.25	U1361A		4.25	4.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-1.3	U1361A		4.3	4.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-1.35	U1361A		4.35	4.35		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-1.4	U1361A		4.4	4.4		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_3A-1.45	U1361A		4.45	4.45		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.1	U1361A		4.6	4.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.15	U1361A		4.65	4.65		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.2	U1361A		4.7	4.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.25	U1361A		4.75	4.75		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.3	U1361A		4.8	4.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.35	U1361A		4.85	4.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.4	U1361A		4.9	4.9		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.45	U1361A		4.95	4.95		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.5	U1361A		5.0	5.0		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.55	U1361A		5.05	5.05		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.6	U1361A		5.1	5.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.65	U1361A		5.15	5.15		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.7	U1361A		5.2	5.2		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.75	U1361A		5.25	5.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.8	U1361A		5.3	5.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.85	U1361A		5.35	5.35		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.9	U1361A		5.4	5.4		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-0.95	U1361A		5.45	5.45		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-1	U1361A		5.5	5.5		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-1.05	U1361A		5.55	5.55		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-1.1	U1361A		5.6	5.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-1.15	U1361A		5.65	5.65		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-1.2	U1361A		5.7	5.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-1.25	U1361A		5.75	5.75		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-1.3	U1361A		5.8	5.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-1.35	U1361A		5.85	5.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-1.4	U1361A		5.9	5.9		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_4A-1.45	U1361A		5.95	5.95		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.1	U1361A		6.1	6.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.15	U1361A		6.15	6.15		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.2	U1361A		6.2	6.2		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.25	U1361A		6.25	6.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.3	U1361A		6.3	6.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.35	U1361A		6.35	6.35		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.4	U1361A		6.4	6.4		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.45	U1361A		6.45	6.45		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.5	U1361A		6.5	6.5		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.55	U1361A		6.55	6.55		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.6	U1361A		6.6	6.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.65	U1361A		6.65	6.65		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.7	U1361A		6.7	6.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.75	U1361A		6.75	6.75		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.8	U1361A		6.8	6.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.85	U1361A		6.85	6.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.9	U1361A		6.9	6.9		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-0.95	U1361A		6.95	6.95		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-1	U1361A		7.0	7.0		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-1.05	U1361A		7.05	7.05		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-1.1	U1361A		7.1	7.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-1.15	U1361A		7.15	7.15		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-1.2	U1361A		7.2	7.2		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-1.25	U1361A		7.25	7.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-1.3	U1361A		7.3	7.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-1.35	U1361A		7.35	7.35		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-1.4	U1361A		7.4	7.4		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_5A-1.45	U1361A		7.45	7.45		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.1	U1361A		7.6	7.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.15	U1361A		7.65	7.65		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.2	U1361A		7.7	7.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.25	U1361A		7.75	7.75		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.3	U1361A		7.8	7.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.35	U1361A		7.85	7.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.4	U1361A		7.9	7.9		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.45	U1361A		7.95	7.95		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.5	U1361A		8.0	8.0		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.55	U1361A		8.05	8.05		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.6	U1361A		8.1	8.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.65	U1361A		8.15	8.15		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.7	U1361A		8.2	8.2		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.75	U1361A		8.25	8.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.8	U1361A		8.3	8.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.85	U1361A		8.35	8.35		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.9	U1361A		8.4	8.4		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-0.95	U1361A		8.45	8.45		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-1	U1361A		8.5	8.5		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-1.05	U1361A		8.55	8.55		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-1.1	U1361A		8.6	8.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-1.15	U1361A		8.65	8.65		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-1.2	U1361A		8.7	8.7		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-1.25	U1361A		8.75	8.75		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-1.3	U1361A		8.8	8.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-001H_6A-1.35	U1361A		8.85	8.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-4-W-114	U1361A		14.64	14.64		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-4-W-84	U1361A		14.34	14.34		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-4-W-94	U1361A		14.44	14.44		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-5-W-10	U1361A		15.1	15.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-5-W-108	U1361A		16.08	16.08		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-5-W-131	U1361A		16.31	16.31		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-5-W-25	U1361A		15.25	15.25		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-5-W-53	U1361A		15.525	15.525		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-5-W-84	U1361A		15.84	15.84		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-6-W-11	U1361A		16.61	16.61		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-6-W-118	U1361A		17.68	17.68		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-6-W-145	U1361A		17.95	17.95		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-6-W-40	U1361A		16.9	16.9		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-6-W-63	U1361A		17.13	17.13		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-6-W-91	U1361A		17.41	17.41		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-002H-7-W-34	U1361A		18.34	18.34		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-2-W-107	U1361A		21.07	21.07		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-2-W-12	U1361A		20.12	20.12		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-2-W-129	U1361A		21.29	21.29		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-2-W-32	U1361A		20.32	20.32		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-2-W-58	U1361A		20.58	20.58		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-2-W-80	U1361A		20.8	20.8		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-3-W-10	U1361A		21.6	21.6		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-3-W-100	U1361A		22.5	22.5		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-3-W-119	U1361A		22.69	22.69		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-3-W-135	U1361A		22.85	22.85		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-3-W-32	U1361A		21.82	21.82		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-3-W-60	U1361A		22.1	22.1		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-3-W-80	U1361A		22.3	22.3		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-4-W-120	U1361A		24.2	24.2		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-4-W-29	U1361A		23.29	23.29		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-4-W-5	U1361A		23.05	23.05		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-4-W-50	U1361A		23.5	23.5		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-4-W-84	U1361A		23.84	23.84		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
318-U1361A-003H-4-W-98	U1361A		23.98	23.98		-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	This study		g	i
