Slecetion criteria:
specimen_int_mad	specimen_drats	specimen_b_beta	specimen_g	specimen_f	specimen_int_ptrm_n	specimen_dang	specimen_n	specimen_q	specimen_gap_max	specimen_frac	specimen_scat	specimen_fvds	specimen_md
15.000000	30.000000	0.100000	0.000000	0.000000	2.000000	15.000000	3.000000	0.000000	0.500000	0.000000	0.000000	0.200000	100000.000000
---------------------------------
er_sample_name	sample_int_n	sample_int_uT	sample_int_sigma_uT	sample_int_sigma_perc	sample_int_interval_uT	sample_int_interval_perc	Warning
0834b361010	4	9.00	0.73	8.074	3.33	37.01	 4 specimens with no anisotropy correction; 
0835b041083	3	6.56	0.03	0.429	28.58	435.63	 3 specimens with no anisotropy correction; 
0836a037055	2	8.84	0.05	0.605	5.66	64.03	 2 specimens with no anisotropy correction; 
0836a037073	2	13.63	0.22	1.589	7.59	55.71	 2 specimens with no anisotropy correction; 
0836b091100	2	32.50	0.00	0.003	19.95	61.37	 2 specimens with no anisotropy correction; 
0862a031011	2	15.39	0.00	0.001	2.83	18.41	 2 specimens with no anisotropy correction; 
0862a031098	2	17.01	0.00	0.001	11.70	68.77	 2 specimens with no anisotropy correction; 
0864a012050	5	32.52	0.12	0.363	9.19	28.26	 5 specimens with no anisotropy correction; 
0864a013015	5	43.52	3.72	8.556	8.14	18.71	 5 specimens with no anisotropy correction; 
0864a013048	2	41.16	0.00	0.002	7.06	17.16	 2 specimens with no anisotropy correction; 
0864a015015	5	32.88	0.16	0.484	8.66	26.32	 5 specimens with no anisotropy correction; 
0864a016030	2	36.93	0.02	0.045	10.57	28.62	 2 specimens with no anisotropy correction; 
0864a016143	4	37.56	0.14	0.362	17.71	47.15	 4 specimens with no anisotropy correction; 
0907a251028	2	16.55	0.00	0.002	8.86	53.53	 2 specimens with no anisotropy correction; 
0907a252049	2	15.08	0.00	0.008	15.69	104.02	 2 specimens with no anisotropy correction; 
0907a254049	3	16.82	0.00	0.005	6.34	37.71	 3 specimens with no anisotropy correction; 
0907a261053	4	15.26	0.00	0.030	6.27	41.07	 4 specimens with no anisotropy correction; 
0907a261139	5	9.85	0.02	0.204	4.62	46.88	 5 specimens with no anisotropy correction; 
0907a261143	5	7.75	0.04	0.528	3.31	42.72	 5 specimens with no anisotropy correction; 
0907a262014	4	14.79	0.01	0.077	8.14	55.05	 4 specimens with no anisotropy correction; 
0907a262019	2	11.72	0.00	0.016	13.31	113.54	 2 specimens with no anisotropy correction; 
1001a541073	2	3.36	0.56	16.610	0.18	5.31	 2 specimens with no anisotropy correction; 
1001a553015	2	20.43	0.01	0.037	11.90	58.28	 2 specimens with no anisotropy correction; 
1001a561016	2	65.02	0.05	0.070	70.27	108.07	 2 specimens with no anisotropy correction; 
1001a561048	2	12.92	0.14	1.101	2.95	22.82	 2 specimens with no anisotropy correction; 
1001a562026	5	24.45	3.09	12.646	3.91	15.98	 5 specimens with no anisotropy correction; 
1001a562034	5	18.97	2.92	15.410	4.07	21.44	 5 specimens with no anisotropy correction; 
