tab	er_specimens
er_sample_name	er_specimen_name	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	specimen_n	specimen_int_ptrm_n	specimen_f	specimen_fvds	specimen_frac	specimen_gap_max	specimen_b_beta	specimen_dang	specimen_drats	specimen_int_mad	specimen_md
0420x141000	0420x1410002	18.93	100	375	30	1.00	-	8.00	4.00	0.58	0.46	0.49	0.24	0.03	14.80	5.57	4.01	-1.00
0420x141000	0420x1410001	14.77	100	250	30	1.00	-	4.00	2.00	0.52	0.30	0.30	0.40	0.05	3.92	7.38	6.57	-1.00
0423x081p01	0423x081p012	19.52	100	425	50	1.00	-	10.00	5.00	0.83	0.41	0.47	0.25	0.04	2.35	5.43	6.28	-1.00
0423x081p01	0423x081p011	12.29	100	300	30	1.00	-	5.00	3.00	0.71	0.42	0.47	0.31	0.09	13.04	0.08	13.33	-1.00
0447a182119	0447a1821192	8.84	150	475	50	1.00	-	14.00	7.00	0.48	0.31	0.56	0.19	0.07	7.67	7.49	13.84	-1.00
0447a182119	0447a1821191	8.85	125	550	50	1.00	-	18.00	8.00	0.92	0.55	0.89	0.11	0.05	10.29	13.08	14.12	-1.00
0462a394p07	0462a394p072	15.77	425	550	40	1.00	-	6.00	7.00	0.70	0.51	0.50	0.31	0.07	1.35	23.66	2.27	-1.00
0462a394p07	0462a394p071	15.77	400	525	40	1.00	-	6.00	7.00	0.64	0.40	0.40	0.29	0.09	0.16	8.02	0.82	-1.00
0462a394p10	0462a394p102	12.25	127	425	40	1.00	-	13.00	6.00	0.85	0.50	0.63	0.17	0.06	9.72	19.57	5.13	-1.00
0462a394p10	0462a394p103	12.25	127	300	40	1.00	-	8.00	4.00	0.81	0.54	0.59	0.30	0.09	3.40	24.23	2.90	-1.00
0469x461p01	0469x461p012	12.26	100	350	30	1.00	-	7.00	4.00	0.66	0.48	0.52	0.31	0.07	9.42	21.88	5.92	-1.00
0469x461p01	0469x461p011	12.26	350	475	30	1.00	-	6.00	6.00	0.38	0.25	0.26	0.46	0.07	6.19	12.92	1.92	-1.00
0470a085075	0470a0850754	37.52	225	375	40	1.00	-	7.00	6.00	0.39	0.36	0.38	0.21	0.07	2.50	8.73	3.38	-1.00
0470a085075	0470a0850753	37.55	200	350	40	1.00	-	7.00	6.00	0.26	0.24	0.28	0.25	0.08	2.16	13.25	6.74	-1.00
0470a085075	0470a0850752	37.48	225	425	40	1.00	-	9.00	7.00	0.58	0.55	0.57	0.16	0.05	0.92	19.75	2.42	-1.00
0470a085075	0470a0850751	37.54	275	425	50	1.00	-	7.00	7.00	0.41	0.26	0.29	0.26	0.09	8.78	6.89	8.28	-1.00
0470a131039	0470a1310397	33.95	100	375	40	1.00	-	10.00	6.00	0.63	0.45	0.53	0.34	0.09	2.01	21.99	4.87	-1.00
0470a131039	0470a1310396	31.59	0	325	40	1.00	-	9.00	5.00	1.07	0.75	0.81	0.41	0.09	6.28	27.91	8.36	-1.00
0470a131039	0470a1310395	29.29	100	325	40	1.00	-	8.00	5.00	0.70	0.41	0.46	0.36	0.09	2.70	29.99	5.47	-1.00
0470a131039	0470a1310394	32.13	100	400	40	1.00	-	11.00	7.00	0.42	0.36	0.52	0.15	0.08	4.58	22.71	7.17	-1.00
0470a131039	0470a1310393	33.66	150	350	40	1.00	-	8.00	6.00	0.22	0.21	0.26	0.28	0.07	3.16	10.85	9.54	-1.00
0470a131039	0470a1310392	32.09	100	550	40	1.00	-	16.00	9.00	1.03	0.90	0.97	0.21	0.05	3.25	27.69	4.34	-1.00
