tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	magic_software_packages	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_dip
This study	Northern Iceland	is008a	is008	FS-FD:SO-POM	pmagpy-2.129	245.0	5.0	59.0	73.0
This study	Northern Iceland	is008b	is008	FS-FD:SO-POM	pmagpy-2.129	263.0	5.0	59.0	55.0
This study	Northern Iceland	is008c	is008	FS-FD:SO-POM	pmagpy-2.129	245.0	5.0	59.0	31.0
This study	Northern Iceland	is008d	is008	FS-FD:SO-POM	pmagpy-2.129	233.0	5.0	59.0	59.0
This study	Northern Iceland	is008e	is008	FS-FD:SO-POM	pmagpy-2.129	295.0	5.0	59.0	72.0
This study	Northern Iceland	is008f	is008	FS-FD:SO-POM	pmagpy-2.129	227.0	5.0	59.0	69.0
This study	Northern Iceland	is008g	is008	FS-FD:SO-POM	pmagpy-2.129	268.0	5.0	59.0	72.0
This study	Northern Iceland	is008h	is008	FS-FD:SO-POM	pmagpy-2.129	221.0	5.0	59.0	51.0
This study	Northern Iceland	is008i	is008	FS-FD:SO-POM	pmagpy-2.129	224.0	5.0	59.0	59.0
This study	Northern Iceland	is009a	is009	FS-FD:SO-POM	pmagpy-2.129	301.0	5.0	59.0	88.0
This study	Northern Iceland	is009b	is009	FS-FD:SO-POM	pmagpy-2.129	246.0	5.0	59.0	81.0
This study	Northern Iceland	is009c	is009	FS-FD:SO-POM	pmagpy-2.129	292.0	5.0	59.0	74.0
This study	Northern Iceland	is009d	is009	FS-FD:SO-POM	pmagpy-2.129	254.0	5.0	59.0	67.0
This study	Northern Iceland	is009e	is009	FS-FD:SO-POM	pmagpy-2.129	229.0	5.0	59.0	83.0
This study	Northern Iceland	is009f	is009	FS-FD:SO-POM	pmagpy-2.129	232.0	5.0	59.0	64.0
This study	Northern Iceland	is009g	is009	FS-FD:SO-POM	pmagpy-2.129	213.0	5.0	59.0	75.0
This study	Northern Iceland	is009h	is009	FS-FD:SO-POM	pmagpy-2.129	213.0	5.0	59.0	56.0
This study	Northern Iceland	is009i	is009	FS-FD:SO-POM	pmagpy-2.129	199.0	5.0	59.0	33.0
This study	Northern Iceland	is009j	is009	FS-FD:SO-POM	pmagpy-2.129	201.0	5.0	59.0	29.0
This study	Northern Iceland	is010a	is010	FS-FD:SO-POM	pmagpy-2.129	229.0	5.0	59.0	82.0
This study	Northern Iceland	is010b	is010	FS-FD:SO-POM	pmagpy-2.129	193.0	5.0	59.0	89.0
This study	Northern Iceland	is010c	is010	FS-FD:SO-POM	pmagpy-2.129	246.0	5.0	59.0	53.0
This study	Northern Iceland	is010d	is010	FS-FD:SO-POM	pmagpy-2.129	199.0	5.0	59.0	70.0
This study	Northern Iceland	is010e	is010	FS-FD:SO-POM	pmagpy-2.129	156.0	5.0	59.0	66.0
This study	Northern Iceland	is010f	is010	FS-FD:SO-POM	pmagpy-2.129	151.0	5.0	59.0	78.0
This study	Northern Iceland	is010g	is010	FS-FD:SO-POM	pmagpy-2.129	281.0	5.0	59.0	67.0
