tab 	er_sites
er_citation_names	er_location_name	er_site_name	site_class	site_definition	site_lithology	site_type
This study	DSDP Site 522	15-3-028	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-031	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-035	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-038	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-041	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-044	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-047	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-051	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-054	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-057	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-061	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-064	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-067	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-071	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-075	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-078	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-080	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-083	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-086	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-089	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-092	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-096	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-098	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-101	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-104	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-107	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-109	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-112	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-115	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-118	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-122	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-125	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-129	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-098	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-101	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-104	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-108	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-110	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-115	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-119	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-122	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-125	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-128	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-131	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-134	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-1-137	sedimentary	s	nannofossil ooze	sedimentary layer
