tab 	sites																															
age	age_high	age_low	age_unit	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_type	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
-1125			Years Cal AD (+/-)	This study	ACCEPT	"VGP Site: mgh12t1, Site VGP, coord system = 0 component: Fit 1"	4.2		4.8	56.9	131	10			9.9313	0	Archeologic		32.585	Not Specified	Tel Megiddo	35.185	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF	i	mgh12t1	pmagpy-3.3.2	mgh12t101:mgh12t102:mgh12t1a1:mgh12t1c1:mgh12t1d1:mgh12t1e1:mgh12t1f1:mgh12t1g1:mgh12t1h1:mgh12t1i2	6.5	3.9	83.7	72.5	10
-3000	-2900	-3100	Years Cal AD (+/-)	This study		Tel Megiddo stratum  J-4											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185		i	mgj04							
-2700	-2800	-2600	Years Cal AD (+/-)	This study		Tel Megiddo stratum J-6											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185		i	mgj06							
-1130	-1180	-1130	Years Cal AD (+/-)	This study		Tel Megiddo stratum  K-6											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185		i	mgk06							
-1250	-1200	-1300	Years Cal AD (+/-)	This study		Tel Megiddo stratum K-8											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185		i	mgk08							
-1350	-1300	-1400	Years Cal AD (+/-)	This study		Tel Megiddo stratum  K-9											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185		i	mgk09							
-1350	-1300	-1400	Years Cal AD (+/-)	This study		Oven in stratum K-9											Archeologic	Oven	32.585	Not Specified	Tel Megiddo	35.185		i	mgk09t1							
-1350			Years Cal AD (+/-)	This study	ACCEPT	Site direction included in results table	2.8	Fit 1	351.5	53	395	8	8	0	7.9823	0	Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF	i	mgk09t1	pmagpy-3.3.2	mgk09t1a1:mgk09t1a2:mgk09t1b1:mgk09t1b2:mgk09t1c1:mgk09t1c2:mgk09t1d1:mgk09t1d2					
-1350			Years Cal AD (+/-)	This study	ACCEPT	"VGP Site: mgk09t1, Site VGP, coord system = 0 component: Fit 1"	2.8		351.5	53	395	8			7.9823	0	Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF	i	mgk09t1	pmagpy-3.3.2	mgk09t1a1:mgk09t1a2:mgk09t1b1:mgk09t1b2:mgk09t1c1:mgk09t1c2:mgk09t1d1:mgk09t1d2	3.9	2.6	82.8	315.3	8
-850			Years Cal AD (+/-)	This study		Tel Megiddo stratum Q-4											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185		i	mgq04							
-850			Years Cal AD (+/-)	This study		Oven in stratum Q-4											Archeologic	Oven	32.585	Not Specified	Tel Megiddo	35.185		i	mgq04t1							
-850			Years Cal AD (+/-)	This study	ACCEPT	Site direction included in results table	6.3	Fit 1	357.6	61.8	54	11	11	0	10.8159	0	Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF	i	mgq04t1	pmagpy-3.3.2	mgq04t101:mgq04t102:mgq04t103:mgq04t105:mgq04t106:mgq04t107:mgq04t108:mgq04t109:mgq04t110:mgq04t111:mgq04t112					
-850			Years Cal AD (+/-)	This study	ACCEPT	"VGP Site: mgq04t1, Site VGP, coord system = 0 component: Fit 1"	6.3		357.6	61.8	54	11			10.8159	0	Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF	i	mgq04t1	pmagpy-3.3.2	mgq04t101:mgq04t102:mgq04t103:mgq04t105:mgq04t106:mgq04t107:mgq04t108:mgq04t109:mgq04t110:mgq04t111:mgq04t112	11.2	5.9	79.4	25.6	11
-900	-850	-950	Years Cal AD (+/-)	This study		Tel Megiddo stratum  Q-5											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185		i	mgq05							
-900			Years Cal AD (+/-)	This study		Oven in stratum Q-5											Archeologic	Oven	32.585	Not Specified	Tel Megiddo	35.185		i	mgq05t1							
-900			Years Cal AD (+/-)	This study	ACCEPT	Site direction included in results table	3.9	Fit 1	18.4	66.1	139	11	11	0	10.9283	0	Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF	i	mgq05t1	pmagpy-3.3.2	mgq05t101:mgq05t102:mgq05t103:mgq05t104:mgq05t105:mgq05t106:mgq05t107:mgq05t108:mgq05t109:mgq05t111:mgq05t112					
-900			Years Cal AD (+/-)	This study	ACCEPT	"VGP Site: mgq05t1, Site VGP, coord system = 0 component: Fit 1"	3.9		18.4	66.1	139	11			10.9283	0	Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF	i	mgq05t1	pmagpy-3.3.2	mgq05t101:mgq05t102:mgq05t103:mgq05t104:mgq05t105:mgq05t106:mgq05t107:mgq05t108:mgq05t109:mgq05t111:mgq05t112	8.1	3.6	69	70.9	11
-900			Years Cal AD (+/-)	This study		Oven in stratum Q-5											Archeologic	Oven	32.585	Not Specified	Tel Megiddo	35.185		i	mgq05t2							
-900			Years Cal AD (+/-)	This study	ACCEPT	Site direction included in results table	1.9	Fit 1	1.3	74.5	567	11	11	0	10.9824	0	Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF	i	mgq05t2	pmagpy-3.3.2	mgq05t2a1:mgq05t2a2:mgq05t2b1:mgq05t2b2:mgq05t2c2:mgq05t2d1:mgq05t2d2:mgq05t2e1:mgq05t2e2:mgq05t2f1:mgq05t2f2					
-900			Years Cal AD (+/-)	This study	ACCEPT	"VGP Site: mgq05t2, Site VGP, coord system = 0 component: Fit 1"	1.9		1.3	74.5	567	11			10.9824	0	Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF	i	mgq05t2	pmagpy-3.3.2	mgq05t2a1:mgq05t2a2:mgq05t2b1:mgq05t2b2:mgq05t2c2:mgq05t2d1:mgq05t2d2:mgq05t2e1:mgq05t2e2:mgq05t2f1:mgq05t2f2	6	1.8	61.6	36.5	11
