tab	samples
azimuth	citations	cooling_rate	criteria	description	dip	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_specimens	lat	lithologies	lon	method_codes	result_type	sample	site	software_packages	specimens	location
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	4.27e-05	1.24e-06	2.68	6	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgf13d	mgf13d	pmagpy-3.4.1: thellier_gui.v.3.0	mgf13d01:mgf13d02:mgf13d09:mgf13d10:mgf13d11:mgf13d12	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	4.32e-05	3.12e-06	6.56	6	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgf13e	mgf13e	pmagpy-3.4.1: thellier_gui.v.3.0	mgf13e01:mgf13e05:mgf13e07:mgf13e08:mgf13e09:mgf13e10	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	4.28e-05	1.13e-06	2.37	4	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgf13f	mgf13f	pmagpy-3.4.1: thellier_gui.v.3.0	mgf13f01:mgf13f02:mgf13f03:mgf13f04	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	7.51e-05	3.08e-06	3.88	5	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgh03b	mgh03b	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03b02:mgh03b03:mgh03b04:mgh03b05:mgh03b06	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	8.05e-05	2.14e-06	2.48	5	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgh03f	mgh03f	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03f01:mgh03f02:mgh03f05:mgh03f06:mgh03f07	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	9.34e-05	3.34e-06	3.47	8	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgh03g	mgh03g	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03g01:mgh03g02:mgh03g03:mgh03g04:mgh03g05:mgh03g06:mgh03g07:mgh03g08	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	7.59e-05	2.98e-06	3.62	7	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgh03h	mgh03h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03h01:mgh03h02:mgh03h03:mgh03h05:mgh03h06:mgh03h07:mgh03h08	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	7.99e-05	8.06e-07	0.94	6	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgh03i	mgh03i	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03i01:mgh03i02:mgh03i03:mgh03i04:mgh03i05:mgh03i07	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	8.97e-05	2.86e-07	0.31	3	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgh03j	mgh03j	pmagpy-3.4.1: thellier_gui.v.3.0	mgh03j02:mgh03j04:mgh03j06	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	7.47e-05	2.65e-06	3.39	3	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgh07b	mgh07b	pmagpy-3.4.1: thellier_gui.v.3.0	mgh07b04:mgh07b05:mgh07b06	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.78e-05	1.68e-06	2.39	5	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgh07d	mgh07d	pmagpy-3.4.1: thellier_gui.v.3.0	mgh07d01:mgh07d02:mgh07d04:mgh07d05:mgh07d06	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.64e-05	3.68e-07	0.52	5	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgh09h	mgh09h	pmagpy-3.4.1: thellier_gui.v.3.0	mgh09h01:mgh09h02:mgh09h04:mgh09h05:mgh09h06	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	7.37e-05	3.25e-07	0.42	4	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgh09j	mgh09j	pmagpy-3.4.1: thellier_gui.v.3.0	mgh09j02:mgh09j03:mgh09j04:mgh09j05	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	8.29e-05	5.47e-07	0.63	5	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgh09k	mgh09k	pmagpy-3.4.1: thellier_gui.v.3.0	mgh09k01:mgh09k02:mgh09k03:mgh09k04:mgh09k05	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	8.36e-05	2.58e-06	2.84	4	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgh09l	mgh09l	pmagpy-3.4.1: thellier_gui.v.3.0	mgh09l01:mgh09l02:mgh09l03:mgh09l04	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.71e-05	2.28e-06	3.30	6	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgh09m	mgh09m	pmagpy-3.4.1: thellier_gui.v.3.0	mgh09m01:mgh09m02:mgh09m03:mgh09m04:mgh09m05:mgh09m06	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.07e-05	3.75e-06	5.30	3	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgh12t1PI	mgh12t1PI	pmagpy-3.4.1: thellier_gui.v.3.0	mgh12t1PI01:mgh12t1PI02:mgh12t1PI05	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	3.09e-05	1.27e-06	3.80	4	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgj04a	mgj04a	pmagpy-3.4.1: thellier_gui.v.3.0	mgj04a01:mgj04a02:mgj04a03:mgj04a04	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	4.16e-05	7.99e-07	1.76	4	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgj04b	mgj04b	pmagpy-3.4.1: thellier_gui.v.3.0	mgj04b01:mgj04b03:mgj04b04:mgj04b11	
