tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	171.4	g	43.3	3.350e-05	17	273.		4.000e-05	0.00	90.00	673.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	173.8	g	27.1	2.150e-05	18	273.		0	0	0	723.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	172.3	g	59.5	3.580e-05	19	273.		4.000e-05	0.00	90.00	723.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	172.40	g	28.06	1.705e-05	20	273.		0	0	0	773.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	172.4	g	53.7	2.520e-05	21	273.		4.000e-05	0.00	90.00	673.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	174.5	g	61.6	2.970e-05	22	273.		4.000e-05	0.00	90.00	773.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	172.1	g	28.2	1.200e-05	23	273.		0	0	0	798.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	171.1	g	72.8	3.190e-05	24	273.		4.000e-05	0.00	90.00	798.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	172.8	g	27.7	5.620e-06	25	273.		0	0	0	823.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	169.5	g	78.8	2.350e-05	26	273.		4.000e-05	0.00	90.00	773.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	165.3	g	83.1	3.640e-05	27	273.		4.000e-05	0.00	90.00	823.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-NO:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	172.1	g	29.9	3.230e-05	0	273.		0	0	0	273.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	172.2	g	29.6	3.170e-05	1	273.		0	0	0	373.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	173	g	30.5	3.190e-05	2	273.		4.000e-05	0.00	90.00	373.00
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	172.3	g	29.4	3.120e-05	3	273.		0	0	0	423.00
