tab	er_ages
er_citation_names	er_location_name	er_site_name	er_sample_name	age	age_range_low	age_range_high	age_unit	age_description
This study	Mitsero Kokkinoyia	mk106301	mk106301	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk106402	mk106402	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk106701	mk106701	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk106801	mk106801	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk106901	mk106901	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk107001	mk107001	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk107101	mk107101	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk107102	mk107102	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk107501	mk107501	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk107502	mk107502	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk107601	mk107601	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk107701	mk107701	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk107801	mk107801	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk107901	mk107901	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk107902	mk107902	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk108001	mk108001	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk108101	mk108101	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk108102	mk108102	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk108401	mk108401	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk108402	mk108402	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk108501	mk108501	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk108502	mk108502	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk108801	mk108801	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk108802	mk108802	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk109301	mk109301	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk1l3901	mk1l3901	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk1l3902	mk1l3902	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Politiko Kokinorotsos	pk1l0102	pk1l0102	-633	-767	-546	Years Cal AD (+/-)	68% interval of Oxcal calibration. see Shaar et al. (2012) for details
This study	Politiko Kokinorotsos	pk1l0103	pk1l0103	-633	-767	-546	Years Cal AD (+/-)	68% interval of Oxcal calibration. see Shaar et al. (2012) for details
This study	Politiko Kokinorotsos	pk1l0104	pk1l0104	-633	-767	-546	Years Cal AD (+/-)	68% interval of Oxcal calibration. see Shaar et al. (2012) for details
This study	Politiko Kokinorotsos	pk1l0105	pk1l0105	-633	-767	-546	Years Cal AD (+/-)	68% interval of Oxcal calibration. see Shaar et al. (2012) for details
This study	Politiko Phorades	pp1l0001	pp1l0001	-1550	-1500	-1400	Years Cal AD (+/-)	archaeological estimate?
This study	Politiko Phorades	pp1l0002	pp1l0002	-1550	-1500	-1400	Years Cal AD (+/-)	archaeological estimate?
This study	Skouriotissa Phoenix 1	sp100101	sp100101	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100102	sp100102	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100103	sp100103	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100201	sp100201	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100301	sp100301	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100302	sp100302	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100303	sp100303	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100501	sp100501	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100502	sp100502	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100601	sp100601	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100602	sp100602	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100603	sp100603	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100701	sp100701	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100702	sp100702	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100801	sp100801	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100802	sp100802	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp100803	sp100803	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
