tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_instrument_codes	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_correction	specimen_dec	specimen_description	specimen_direction_type	specimen_flag	specimen_inc	specimen_inferred_age	specimen_inferred_age_sigma	specimen_inferred_age_unit	specimen_mad	specimen_n	specimen_nrm	specimen_tilt_correction
Peter C. Lippert	This study	Nading Co	07ND177	NDC-21	07ND177a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	50	mT	u	26.8		p	g	28.6	35.4	2.4	Ma	9.3	5	l	100
Peter C. Lippert	This study	Nading Co	07ND177	NDC-21	07ND177b	IPGP-2GH	DE-BFL:LP-DIR-T	560	450	°C	u	27.2	Specimen not used to calculate site mean direction.	p	g	31.2	35.4	2.4	Ma	0.9	4	l	100
Peter C. Lippert	This study	Nading Co	07ND178	NDC-21	07ND178a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	180	80	mT	u	33.8		p	g	23.6	35.4	2.4	Ma	6.5	8	l	100
Peter C. Lippert	This study	Nading Co	07ND179	NDC-21	07ND179a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	110	60	mT	u	30.4		p	g	30.2	35.4	2.4	Ma	6.7	5	l	100
Peter C. Lippert	This study	Nading Co	07ND180	NDC-21	07ND180a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	23.6		p	g	25.4	35.4	2.4	Ma	7.1	5	l	100
Peter C. Lippert	This study	Nading Co	07ND181	NDC-22	07ND181a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	60	mT	u	55.7	Specimen not used to calculate site mean direction.	p	g	30.8	35.4	2.4	Ma	5.5	6	l	100
Peter C. Lippert	This study	Nading Co	07ND182	NDC-22	07ND182a	IPGP-2GH : SIO-SUZY	DE-BFP-G:LP-DIR-AF	120	0	mT	u	138.2		p	g	35.3	35.4	2.4	Ma	6.4	16	p	100
Peter C. Lippert	This study	Nading Co	07ND183	NDC-22	07ND183a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	40	mT	u	48.4	Specimen not used to calculate site mean direction.	p	g	28.2	35.4	2.4	Ma	2.7	8	l	100
Peter C. Lippert	This study	Nading Co	07ND184	NDC-22	07ND184a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	110	60	mT	u	23.2		p	g	35.1	35.4	2.4	Ma	7.7	5	l	100
Peter C. Lippert	This study	Nading Co	07ND185	NDC-22	07ND185a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	40	mT	u	37		p	g	29.1	35.4	2.4	Ma	4.3	6	l	100
