tab 	er_images
er_citation_names	er_image_name	er_location_name	er_photographer_mail_names	er_site_name	image_date	image_keywords	image_title	image_type
This study	DSC_0013A.JPG	McMurdo	Hubert Staudigel	mc210	2006:12:05:00:00:00.00	Tent Island : paleomagnetic sampling : McMurdo Volcanics	MC210 outcrop overview	Outcrop
This study	DSC_0013C.JPG	McMurdo	Hubert Staudigel	mc217	2006:12:16:00:00:00.00	Three sisters : paleomagnetic sampling : McMurdo Volcanics	MC217 sample detail	Outcrop
This study	DSC_0014.JPG	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC206 detail of samples	Outcrop
This study	DSC_0014A.JPG	McMurdo	Hubert Staudigel	mc210	2006:12:05:00:00:00.00	Tent Island : paleomagnetic sampling : McMurdo Volcanics	MC210 outcrop overview	Outcrop
This study	DSC_0014C.JPG	McMurdo	Hubert Staudigel	mc217	2006:12:16:00:00:00.00	Three sisters : paleomagnetic sampling : McMurdo Volcanics	MC217 sample detail	Outcrop
This study	DSC_0015.JPG	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC206 detail of samples	Outcrop
This study	DSC_0015A.JPG	McMurdo	Hubert Staudigel	mc210	2006:12:05:00:00:00.00	Tent Island : paleomagnetic sampling : McMurdo Volcanics	MC210 outcrop overview	Outcrop
This study	DSC_0015C.JPG	McMurdo	Hubert Staudigel	mc217	2006:12:16:00:00:00.00	Three sisters : paleomagnetic sampling : McMurdo Volcanics	MC217 sample detail	Outcrop
This study	DSC_0016.JPG	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC206 detail of samples	Outcrop
This study	DSC_0016C.JPG	McMurdo	Hubert Staudigel	mc217	2006:12:16:00:00:00.00	Three sisters : paleomagnetic sampling : McMurdo Volcanics	MC217 sample detail	Outcrop
This study	DSC_0017.JPG	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC206 detail of samples	Outcrop
This study	DSC_0017C.JPG	McMurdo	Hubert Staudigel	mc217	2006:12:16:00:00:00.00	Three sisters : paleomagnetic sampling : McMurdo Volcanics	MC217 sample detail	Outcrop
This study	DSC_0018.JPG	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC206 detail of samples	Outcrop
This study	DSC_0018C.JPG	McMurdo	Hubert Staudigel	mc217	2006:12:16:00:00:00.00	Three sisters : paleomagnetic sampling : McMurdo Volcanics	MC217 sample detail	Outcrop
This study	DSC_0019.JPG	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC206 detail of samples	Outcrop
This study	DSC_0019C.JPG	McMurdo	Hubert Staudigel	mc218	2006:12:16:00:00:00.00	Bomb peak : paleomagnetic sampling : McMurdo Volcanics	MC218 sample detail	Outcrop
This study	DSC_0020.JPG	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC206 detail of samples	Outcrop
This study	DSC_0020C.JPG	McMurdo	Hubert Staudigel	mc218	2006:12:16:00:00:00.00	Bomb peak : paleomagnetic sampling : McMurdo Volcanics	MC218 sample detail	Outcrop
This study	DSC_0021.JPG	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC206 detail of samples	Outcrop
This study	DSC_0021A.JPG	McMurdo	Hubert Staudigel	mc211	2006:12:05:00:00:00.00	Inaccessible Island : paleomagnetic sampling : McMurdo Volcanics	MC211 detail of samples	Outcrop
This study	DSC_0021B.JPG	McMurdo	Hubert Staudigel	mc216	2006:12:13:00:00:00.00	W. Abbot Peak : paleomagnetic sampling : McMurdo Volcanics	MC216 sample detail	Outcrop
This study	DSC_0021C.JPG	McMurdo	Hubert Staudigel	mc218	2006:12:16:00:00:00.00	Bomb peak : paleomagnetic sampling : McMurdo Volcanics	MC218 sample detail	Outcrop
This study	DSC_0022.JPG	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC206 detail of samples	Outcrop
This study	DSC_0022A.JPG	McMurdo	Hubert Staudigel	mc211	2006:12:05:00:00:00.00	Inaccessible Island : paleomagnetic sampling : McMurdo Volcanics	MC211 detail of samples	Outcrop
This study	DSC_0022C.JPG	McMurdo	Hubert Staudigel	mc218	2006:12:16:00:00:00.00	Bomb peak : paleomagnetic sampling : McMurdo Volcanics	MC218 sample detail	Outcrop
This study	DSC_0022D.JPG	McMurdo	Hubert Staudigel	mc221	2006:12:18:00:00:00.00	W. Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC221 sample detail	Outcrop
This study	DSC_0023A.JPG	McMurdo	Hubert Staudigel	mc211	2006:12:05:00:00:00.00	Inaccessible Island : paleomagnetic sampling : McMurdo Volcanics	MC211 detail of samples	Outcrop
This study	DSC_0023C.JPG	McMurdo	Hubert Staudigel	mc218	2006:12:16:00:00:00.00	Bomb peak : paleomagnetic sampling : McMurdo Volcanics	MC218 sample detail	Outcrop
This study	DSC_0023D.JPG	McMurdo	Hubert Staudigel	mc221	2006:12:18:00:00:00.00	W. Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC221 sample detail	Outcrop
This study	DSC_0024A.JPG	McMurdo	Hubert Staudigel	mc211	2006:12:05:00:00:00.00	Inaccessible Island : paleomagnetic sampling : McMurdo Volcanics	MC211 detail of samples	Outcrop
This study	DSC_0024C.JPG	McMurdo	Hubert Staudigel	mc218	2006:12:16:00:00:00.00	Bomb peak : paleomagnetic sampling : McMurdo Volcanics	MC218 sample detail	Outcrop
This study	DSC_0024D.JPG	McMurdo	Hubert Staudigel	mc220	2006:12:18:00:00:00.00	Abbot Peak : paleomagnetic sampling : McMurdo Volcanics	MC220 view from outcrop	Outcrop
This study	DSC_0024E.JPG	McMurdo	Hubert Staudigel	mc221	2006:12:18:00:00:00.00	W. Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC221 sample detail	Outcrop
This study	DSC_0025A.JPG	McMurdo	Hubert Staudigel	mc211	2006:12:05:00:00:00.00	Inaccessible Island : paleomagnetic sampling : McMurdo Volcanics	MC211 detail of samples	Outcrop
This study	DSC_0025C.JPG	McMurdo	Hubert Staudigel	mc218	2006:12:16:00:00:00.00	Bomb peak : paleomagnetic sampling : McMurdo Volcanics	MC218 sample detail	Outcrop
This study	DSC_0025D.JPG	McMurdo	Hubert Staudigel	mc221	2006:12:18:00:00:00.00	W. Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC221 sample detail	Outcrop
This study	DSC_0026A.JPG	McMurdo	Hubert Staudigel	mc211	2006:12:05:00:00:00.00	Inaccessible Island : paleomagnetic sampling : McMurdo Volcanics	MC211 detail of samples	Outcrop
This study	DSC_0026C.JPG	McMurdo	Hubert Staudigel	mc218	2006:12:16:00:00:00.00	Bomb peak : paleomagnetic sampling : McMurdo Volcanics	MC218 sample detail	Outcrop
This study	DSC_0026D.JPG	McMurdo	Hubert Staudigel	mc221	2006:12:18:00:00:00.00	W. Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC221 sample detail	Outcrop
This study	DSC_0027A.JPG	McMurdo	Hubert Staudigel	mc211	2006:12:05:00:00:00.00	Inaccessible Island : paleomagnetic sampling : McMurdo Volcanics	MC211 detail of samples	Outcrop
This study	DSC_0027C.JPG	McMurdo	Hubert Staudigel	mc218	2006:12:16:00:00:00.00	Bomb peak : paleomagnetic sampling : McMurdo Volcanics	MC218 sample detail	Outcrop
This study	DSC_0027D.JPG	McMurdo	Hubert Staudigel	mc221	2006:12:18:00:00:00.00	W. Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC221 sample detail	Outcrop
This study	DSC_0028A.JPG	McMurdo	Hubert Staudigel	mc211	2006:12:05:00:00:00.00	Inaccessible Island : paleomagnetic sampling : McMurdo Volcanics	MC211 detail of samples	Outcrop
This study	DSC_0028C.JPG	McMurdo	Hubert Staudigel	mc218	2006:12:16:00:00:00.00	Bomb peak : paleomagnetic sampling : McMurdo Volcanics	MC218 sample detail	Outcrop
This study	DSC_0028D.JPG	McMurdo	Hubert Staudigel	mc221	2006:12:18:00:00:00.00	W. Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC221 sample detail	Outcrop
This study	DSC_0029A.JPG	McMurdo	Hubert Staudigel	mc211	2006:12:05:00:00:00.00	Inaccessible Island : paleomagnetic sampling : McMurdo Volcanics	MC211 detail of samples	Outcrop
This study	DSC_0029B.JPG	McMurdo	Hubert Staudigel	mc216	2006:12:13:00:00:00.00	W. Abbot Peak : paleomagnetic sampling : McMurdo Volcanics	MC216 sample detail	Outcrop
This study	DSC_0029C.JPG	McMurdo	Hubert Staudigel	mc218	2006:12:16:00:00:00.00	Bomb peak : paleomagnetic sampling : McMurdo Volcanics	MC218 outcrop overview	Outcrop
This study	DSC_0029D.JPG	McMurdo	Hubert Staudigel	mc221	2006:12:18:00:00:00.00	W. Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC221 sample detail	Outcrop
This study	DSC_0030A.JPG	McMurdo	Hubert Staudigel	mc211	2006:12:05:00:00:00.00	Inaccessible Island : paleomagnetic sampling : McMurdo Volcanics	MC211 detail of samples	Outcrop
This study	DSC_0030B.JPG	McMurdo	Hubert Staudigel	mc216	2006:12:13:00:00:00.00	W. Abbot Peak : paleomagnetic sampling : McMurdo Volcanics	MC216 sample detail	Outcrop
This study	DSC_0030C.JPG	McMurdo	Hubert Staudigel	mc218	2006:12:16:00:00:00.00	Bomb peak : paleomagnetic sampling : McMurdo Volcanics	MC218 sample detail	Outcrop
This study	DSC_0030D.JPG	McMurdo	Hubert Staudigel	mc221	2006:12:18:00:00:00.00	W. Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC221 sample detail	Outcrop
This study	DSC_0031B.JPG	McMurdo	Hubert Staudigel	mc216	2006:12:13:00:00:00.00	W. Abbot Peak : paleomagnetic sampling : McMurdo Volcanics	MC216 sample detail	Outcrop
This study	DSC_0031C.JPG	McMurdo	Hubert Staudigel	mc218	2006:12:16:00:00:00.00	Bomb peak : paleomagnetic sampling : McMurdo Volcanics	MC218 outcrop overview	Outcrop
This study	DSC_0031D.JPG	McMurdo	Hubert Staudigel	mc221	2006:12:18:00:00:00.00	W. Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC221 sample detail	Outcrop
This study	DSC_0032B.JPG	McMurdo	Hubert Staudigel	mc216	2006:12:13:00:00:00.00	W. Abbot Peak : paleomagnetic sampling : McMurdo Volcanics	MC216 sample detail	Outcrop
This study	DSC_0033B.JPG	McMurdo	Hubert Staudigel	mc216	2006:12:13:00:00:00.00	W. Abbot Peak : paleomagnetic sampling : McMurdo Volcanics	MC216 sample detail	Outcrop
This study	DSC_0033D.JPG	McMurdo	Hubert Staudigel	mc221	2006:12:18:00:00:00.00	W. Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC221 sample detail	Outcrop
This study	DSC_0034B.JPG	McMurdo	Hubert Staudigel	mc216	2006:12:13:00:00:00.00	W. Abbot Peak : paleomagnetic sampling : McMurdo Volcanics	MC216 sample detail	Outcrop
This study	DSC_0035B.JPG	McMurdo	Hubert Staudigel	mc223	2006:12:18:00:00:00.00	Top Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC223 sample detail	Outcrop
This study	DSC_0036B.JPG	McMurdo	Hubert Staudigel	mc223	2006:12:18:00:00:00.00	Top Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC223 sample detail	Outcrop
This study	DSC_0037B.JPG	McMurdo	Hubert Staudigel	mc222	2006:12:18:00:00:00.00	SW Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC222 sample detail	Outcrop
This study	DSC_0038B.JPG	McMurdo	Hubert Staudigel	mc222	2006:12:18:00:00:00.00	SW Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC222 sample detail	Outcrop
This study	DSC_0039A.JPG	McMurdo	Hubert Staudigel	mc210	2006:12:05:00:00:00.00	Tent Island : paleomagnetic sampling : McMurdo Volcanics	MC210 outcrop overview	Outcrop
This study	DSC_0039B.JPG	McMurdo	Hubert Staudigel	mc222	2006:12:18:00:00:00.00	SW Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC222 sample detail	Outcrop
This study	DSC_0040A.JPG	McMurdo	Hubert Staudigel	mc210	2006:12:05:00:00:00.00	Tent Island : paleomagnetic sampling : McMurdo Volcanics	MC210 outcrop overview	Outcrop
This study	DSC_0040B.JPG	McMurdo	Hubert Staudigel	mc222	2006:12:18:00:00:00.00	SW Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC222 sample detail	Outcrop
This study	DSC_0040C.JPG	McMurdo	Hubert Staudigel	mc227	2006:12:21:00:00:00.00	Mt Bird : paleomagnetic sampling : McMurdo Volcanics	MC227 outcrop overview	Outcrop
This study	DSC_0041A.JPG	McMurdo	Hubert Staudigel	mc210	2006:12:05:00:00:00.00	Tent Island : paleomagnetic sampling : McMurdo Volcanics	MC210 outcrop overview	Outcrop
This study	DSC_0041B.JPG	McMurdo	Hubert Staudigel	mc222	2006:12:18:00:00:00.00	SW Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC222 sample detail	Outcrop
This study	DSC_0041C.JPG	McMurdo	Hubert Staudigel	mc227	2006:12:21:00:00:00.00	Mt Bird : paleomagnetic sampling : McMurdo Volcanics	MC227 sample detail	Outcrop
This study	DSC_0042A.JPG	McMurdo	Hubert Staudigel	mc210	2006:12:05:00:00:00.00	Tent Island : paleomagnetic sampling : McMurdo Volcanics	MC210 outcrop overview	Outcrop
This study	DSC_0042B.JPG	McMurdo	Hubert Staudigel	mc210	2006:12:05:00:00:00.00	Tent Island : paleomagnetic sampling : McMurdo Volcanics	MC210 outcrop overview	Outcrop
This study	DSC_0042C.JPG	McMurdo	Hubert Staudigel	mc222	2006:12:18:00:00:00.00	SW Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC222 sample detail	Outcrop
This study	DSC_0042D.JPG	McMurdo	Hubert Staudigel	mc227	2006:12:21:00:00:00.00	Mt Bird : paleomagnetic sampling : McMurdo Volcanics	MC227 sample detail	Outcrop
This study	DSC_0043B.JPG	McMurdo	Hubert Staudigel	mc222	2006:12:18:00:00:00.00	SW Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC222 sample detail	Outcrop
This study	DSC_0043C.JPG	McMurdo	Hubert Staudigel	mc227	2006:12:22:00:00:00.00	Mt Bird : paleomagnetic sampling : McMurdo Volcanics	MC227 sample detail	Outcrop
This study	DSC_0044B.JPG	McMurdo	Hubert Staudigel	mc222	2006:12:18:00:00:00.00	SW Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC222 sample detail	Outcrop
This study	DSC_0044C.JPG	McMurdo	Hubert Staudigel	mc227	2006:12:22:00:00:00.00	Mt Bird : paleomagnetic sampling : McMurdo Volcanics	MC227 sample detail	Outcrop
This study	DSC_0045B.JPG	McMurdo	Hubert Staudigel	mc222	2006:12:18:00:00:00.00	SW Hooper's shoulder : paleomagnetic sampling : McMurdo Volcanics	MC222 sample detail	Outcrop
This study	DSC_0045C.JPG	McMurdo	Hubert Staudigel	mc227	2006:12:22:00:00:00.00	Mt Bird : paleomagnetic sampling : McMurdo Volcanics	MC227 sample detail	Outcrop
This study	DSC_0047C.JPG	McMurdo	Hubert Staudigel	mc227	2006:12:22:00:00:00.00	Mt Bird : paleomagnetic sampling : McMurdo Volcanics	MC227 sample detail	Outcrop
This study	DSC_0048C.JPG	McMurdo	Hubert Staudigel	mc227	2006:12:22:00:00:00.00	Mt Bird : paleomagnetic sampling : McMurdo Volcanics	MC227 sample detail	Outcrop
This study	DSC_0049C.JPG	McMurdo	Hubert Staudigel	mc227	2006:12:22:00:00:00.00	Mt Bird : paleomagnetic sampling : McMurdo Volcanics	MC227 sample detail	Outcrop
This study	DSC_0050D.JPG	McMurdo	Hubert Staudigel	mc229	2006:12:27:00:00:00.00	Fang Ridge : paleomagnetic sampling : McMurdo Volcanics	MC229 sample detail	Outcrop
This study	DSC_0053B.JPG	McMurdo	Hubert Staudigel	mc223	2006:12:18:00:00:00.00	Top Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC223 sample detail	Outcrop
This study	DSC_0054B.JPG	McMurdo	Hubert Staudigel	mc223	2006:12:18:00:00:00.00	Top Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC223 sample detail	Outcrop
This study	DSC_0056B.JPG	McMurdo	Hubert Staudigel	mc223	2006:12:18:00:00:00.00	Top Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC223 sample detail	Outcrop
This study	DSC_0057B.JPG	McMurdo	Hubert Staudigel	mc223	2006:12:18:00:00:00.00	Top Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC223 sample detail	Outcrop
This study	DSC_0058B.JPG	McMurdo	Hubert Staudigel	mc223	2006:12:18:00:00:00.00	Top Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC223 sample detail	Outcrop
This study	DSC_0059B.JPG	McMurdo	Hubert Staudigel	mc223	2006:12:18:00:00:00.00	Top Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC223 sample detail	Outcrop
This study	DSC_0060B.JPG	McMurdo	Hubert Staudigel	mc223	2006:12:18:00:00:00.00	Top Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC223 sample detail	Outcrop
This study	DSC_0060C.JPG	McMurdo	Hubert Staudigel	mc219	2006:12:17:00:00:00.00	MCM lava flow : paleomagnetic sampling : McMurdo Volcanics	MC219 sample detail	Outcrop
This study	DSC_0061B.JPG	McMurdo	Hubert Staudigel	mc223	2006:12:18:00:00:00.00	Top Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC223 sample detail	Outcrop
This study	DSC_0061C.JPG	McMurdo	Hubert Staudigel	mc219	2006:12:17:00:00:00.00	MCM lava flow : paleomagnetic sampling : McMurdo Volcanics	MC219 sample detail	Outcrop
This study	DSC_0062B.JPG	McMurdo	Hubert Staudigel	mc223	2006:12:18:00:00:00.00	Top Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC223 sample detail	Outcrop
This study	DSC_0062C.JPG	McMurdo	Hubert Staudigel	mc219	2006:12:17:00:00:00.00	MCM lava flow : paleomagnetic sampling : McMurdo Volcanics	MC219 sample detail	Outcrop
This study	DSC_0063B.JPG	McMurdo	Hubert Staudigel	mc223	2006:12:18:00:00:00.00	Top Turk's head : paleomagnetic sampling : McMurdo Volcanics	MC223 sample detail	Outcrop
This study	DSC_0063C.JPG	McMurdo	Hubert Staudigel	mc219	2006:12:17:00:00:00.00	MCM lava flow : paleomagnetic sampling : McMurdo Volcanics	MC219 sample detail	Outcrop
