tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_class	sample_declination_correction	sample_description	sample_dip	sample_lat	sample_lithology	sample_lon	sample_orientation_flag	sample_type
This study	McMurdo	mc113a	mc113	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	165.2	Igneous : Extrusive	0		-62	-78.226	Basalt	162.735	g	Lava Flow
This study	McMurdo	mc113b	mc113	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	177.5	Igneous : Extrusive	0		-61	-78.226	Basalt	162.735	g	Lava Flow
This study	McMurdo	mc113c	mc113	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	157	Igneous : Extrusive	0		-52	-78.226	Basalt	162.735	g	Lava Flow
This study	McMurdo	mc113h	mc113	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	125.1	Igneous : Extrusive	0		-52.5	-78.226	Basalt	162.735	g	Lava Flow
This study	McMurdo	mc113j	mc113	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	105	Igneous : Extrusive	0		-52	-78.226	Basalt	162.735	g	Lava Flow
This study	McMurdo	mc113m	mc113	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	93.2	Igneous : Extrusive	0		-62	-78.226	Basalt	162.735	g	Lava Flow
This study	McMurdo	mc114a	mc114	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	84.9	Igneous : Extrusive	0		-46	-78.224	Basalt	162.783	g	Lava Flow
This study	McMurdo	mc114b	mc114	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	118.4	Igneous : Extrusive	0		-59	-78.224	Basalt	162.783	g	Lava Flow
This study	McMurdo	mc114c	mc114	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	104.9	Igneous : Extrusive	0		-79	-78.224	Basalt	162.783	g	Lava Flow
This study	McMurdo	mc114d	mc114	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	136.6	Igneous : Extrusive	0		-87	-78.224	Basalt	162.783	g	Lava Flow
This study	McMurdo	mc114i	mc114	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	144.5	Igneous : Extrusive	0		-77	-78.224	Basalt	162.783	g	Lava Flow
This study	McMurdo	mc115a	mc115	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	47.2	Igneous : Extrusive	0		-73	-78.243	Basalt	162.958	g	Lava Flow
This study	McMurdo	mc115b	mc115	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	47.1	Igneous : Extrusive	0		-62.5	-78.243	Basalt	162.958	g	Lava Flow
This study	McMurdo	mc115e	mc115	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	34.6	Igneous : Extrusive	0		-60.5	-78.243	Basalt	162.958	g	Lava Flow
This study	McMurdo	mc115g	mc115	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	41.9	Igneous : Extrusive	0		-38.5	-78.243	Basalt	162.958	g	Lava Flow
This study	McMurdo	mc115h	mc115	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	69.8	Igneous : Extrusive	0		-38.5	-78.243	Basalt	162.958	g	Lava Flow
This study	McMurdo	mc116a	mc116	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	132.8	Igneous : Extrusive	0		-55	-78.222	Basalt	162.744	g	Lava Flow
This study	McMurdo	mc116b	mc116	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	107.1	Igneous : Extrusive	0		-36.5	-78.222	Basalt	162.744	g	Lava Flow
This study	McMurdo	mc116c	mc116	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	95.6	Igneous : Extrusive	0		-74	-78.222	Basalt	162.744	g	Lava Flow
