tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_mad	specimen_md	specimen_n	specimen_q	specimen_rsc	specimen_tilt_correction
This study	Snake River	sr25d	sr25	sr25d2	sr25d2 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		10.3	Recalculated from original measurements; supercedes published results.	l				64.1						1.6		8			0
This study	Snake River	sr25e	sr25	sr25e2	sr25e2 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.03	T				u		0.1	Recalculated from original measurements; supercedes published results.	l				60.8						1.2		9			0
This study	Snake River	sr25f	sr25	sr25f3	sr25f3 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.01	T				u		1.5	Recalculated from original measurements; supercedes published results.	l				63.8						2		11			0
This study	Snake River	sr25h	sr25	sr25h1	sr25h1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.01	T				u		1.9	Recalculated from original measurements; supercedes published results.	l				60.9						2.8		11			0
This study	Snake River	sr26a	sr26	sr26a3	sr26a3 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.03	T				u		2.6	Recalculated from original measurements; supercedes published results.	l				60.1						1.1		9			0
This study	Snake River	sr26c	sr26	sr26c3	sr26c3 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.16	0.04	T				u		17.5	Recalculated from original measurements; supercedes published results.	l				66						4.4		7			0
This study	Snake River	sr26e	sr26	sr26e3	sr26e3 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		356.5	Recalculated from original measurements; supercedes published results.	l				62.8						0.9		8			0
This study	Snake River	sr26f	sr26	sr26f1	sr26f1 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		341.3	Recalculated from original measurements; supercedes published results.	l				65.6						4.7		8			0
This study	Snake River	sr26i	sr26	sr26i1	sr26i1 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.01	T				u		353.1	Recalculated from original measurements; supercedes published results.	l				56.9						0.7		11			0
This study	Snake River	sr28a	sr28	sr28a1	sr28a1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		194.5	Recalculated from original measurements; supercedes published results.	l				-51.9						3		8			0
