tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	magic_software_packages	measurement_chi_volume	measurement_flag	measurement_number	measurement_orient_phi	measurement_orient_theta	measurement_standard	measurement_temp	treatment_temp
This study	Troodos Ophiolite	tr245j	tr245	tr245j	1806.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0018040000	g	5	45.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245j	tr245	tr245j	1806.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0018110000	g	6	90.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245j	tr245	tr245j	1806.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0018100000	g	7	270.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245j	tr245	tr245j	1806.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0018110000	g	8	270.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245j	tr245	tr245j	1806.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0018110000	g	9	270.0	45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245j	tr245	tr245j	1806.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0018110000	g	10	90.0	45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245j	tr245	tr245j	1806.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0018060000	g	11	180.0	45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245j	tr245	tr245j	1806.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0018030000	g	12	180.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245j	tr245	tr245j	1806.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0018110000	g	13	0.0	-90.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245j	tr245	tr245j	1806.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0018060000	g	14	0.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245j	tr245	tr245j	1806.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0018030000	g	15	0.0	45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245k	tr245	tr245k	1015.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010130000	g	1	315.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245k	tr245	tr245k	1015.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010190000	g	2	225.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245k	tr245	tr245k	1015.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010140000	g	3	180.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245k	tr245	tr245k	1015.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010140000	g	4	135.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245k	tr245	tr245k	1015.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010210000	g	5	45.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245k	tr245	tr245k	1015.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010170000	g	6	90.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245k	tr245	tr245k	1015.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010190000	g	7	270.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245k	tr245	tr245k	1015.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010200000	g	8	270.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245k	tr245	tr245k	1015.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010170000	g	9	270.0	45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245k	tr245	tr245k	1015.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010190000	g	10	90.0	45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245k	tr245	tr245k	1015.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010150000	g	11	180.0	45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245k	tr245	tr245k	1015.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010150000	g	12	180.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245k	tr245	tr245k	1015.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010160000	g	13	0.0	-90.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245k	tr245	tr245k	1015.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010150000	g	14	0.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245k	tr245	tr245k	1015.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010150000	g	15	0.0	45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245l	tr245	tr245l	1158.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0011590000	g	1	315.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245l	tr245	tr245l	1158.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0011640000	g	2	225.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245l	tr245	tr245l	1158.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0011560000	g	3	180.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245l	tr245	tr245l	1158.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0011590000	g	4	135.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245l	tr245	tr245l	1158.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0011650000	g	5	45.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245l	tr245	tr245l	1158.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0011640000	g	6	90.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245l	tr245	tr245l	1158.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0011640000	g	7	270.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245l	tr245	tr245l	1158.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0011680000	g	8	270.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245l	tr245	tr245l	1158.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0011640000	g	9	270.0	45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245l	tr245	tr245l	1158.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0011640000	g	10	90.0	45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245l	tr245	tr245l	1158.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0011580000	g	11	180.0	45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245l	tr245	tr245l	1158.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0011580000	g	12	180.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245l	tr245	tr245l	1158.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0011610000	g	13	0.0	-90.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245l	tr245	tr245l	1158.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0011590000	g	14	0.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245l	tr245	tr245l	1158.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0011580000	g	15	0.0	45.0	u	2.730e+02	2.730e+02
