M5-115D	14Y-68464	9/8/14	10:54	A	10	316.4	43.8	348.4	43.8	348.4	43.8	5.66E-06
M5-115D	14Y-68465	9/8/14	10:56	A	15	315.8	46.4	347.8	46.4	347.8	46.4	3.76E-06
M5-115D	14Y-68466	9/8/14	10:58	A	20	326.2	40	358.2	40	358.2	40	2.90E-06
M5-115D	14Y-68467	9/8/14	11:00	A	30	315.2	50.5	347.2	50.5	347.2	50.5	2.01E-06
M5-115D	14Y-68468	9/8/14	11:02	A	40	327.1	32.9	359.1	32.9	359.1	32.9	1.34E-06
M5-115D	14Y-68469	9/8/14	11:04	A	50	317.4	42.8	349.4	42.8	349.4	42.8	1.34E-06
M5-115D	14Y-68470	9/8/14	11:07	A	65	303.1	22.8	335.1	22.8	335.1	22.8	8.55E-07
M5-115D	14Y-68471	9/8/14	11:09	A	80	333.6	21.3	5.6	21.3	5.6	21.3	9.39E-07
M5-115D	14Y-68472	9/8/14	11:12	A	100	308.1	18.9	340.1	18.9	340.1	18.9	4.83E-07
M5-116D	14Y-68473	9/8/14	11:14	N	0	330.3	41.2	6.3	41.2	6.3	41.2	6.37E-06
M5-116D	14Y-68474	9/8/14	11:16	A	5	327.3	51.4	3.3	51.4	3.3	51.4	5.42E-06
M5-116D	14Y-68475	9/8/14	11:18	A	10	330.5	50.7	6.5	50.7	6.5	50.7	3.71E-06
M5-116D	14Y-68476	9/8/14	11:19	A	15	332.8	45.8	8.8	45.8	8.8	45.8	2.45E-06
M5-116D	14Y-68477	9/8/14	11:21	A	20	337.9	45.7	13.9	45.7	13.9	45.7	1.82E-06
M5-116D	14Y-68478	9/8/14	11:23	A	30	318.6	37.4	354.6	37.4	354.6	37.4	9.94E-07
M5-116D	14Y-68479	9/8/14	11:25	A	40	315	45.3	351	45.3	351	45.3	6.64E-07
M5-116D	14Y-68480	9/8/14	11:28	A	50	308.8	56.7	344.8	56.7	344.8	56.7	3.93E-07
M5-116D	14Y-68481	9/8/14	11:30	A	65	324.6	12.4	0.6	12.4	0.6	12.4	5.03E-07
M5-116D	14Y-68482	9/8/14	11:33	A	80	303.6	24.8	339.6	24.8	339.6	24.8	5.23E-07
M5-116D	14Y-68483	9/8/14	11:36	A	100	337.7	15.7	13.7	15.7	13.7	15.7	4.32E-07
M5-117D	14Y-68484	9/8/14	11:39	N	0	338.3	35	11.3	35	11.3	35	4.67E-05
M5-117D	14Y-68485	9/8/14	11:41	A	5	343	35.8	16	35.8	16	35.8	2.36E-05
M5-117D	14Y-68486	9/8/14	11:43	A	10	344.4	36.7	17.4	36.7	17.4	36.7	8.94E-06
M5-117D	14Y-68487	9/8/14	11:44	A	15	337.4	40.3	10.4	40.3	10.4	40.3	4.55E-06
M5-117D	14Y-68488	9/8/14	11:46	A	20	336.6	37.4	9.6	37.4	9.6	37.4	3.00E-06
M5-117D	14Y-68489	9/8/14	11:48	A	30	341.9	36	14.9	36	14.9	36	2.16E-06
M5-117D	14Y-68490	9/8/14	11:50	A	40	333.1	35.8	6.1	35.8	6.1	35.8	1.40E-06
M5-117D	14Y-68491	9/8/14	11:52	A	50	318.1	25.6	351.1	25.6	351.1	25.6	1.02E-06
M5-117D	14Y-68492	9/8/14	11:55	A	65	349.5	17.9	22.5	17.9	22.5	17.9	8.97E-07
M5-117D	14Y-68493	9/8/14	11:57	A	80	14.8	-10.2	47.8	-10.2	47.8	-10.2	4.72E-07
M5-117D	14Y-68494	9/8/14	12:00	A	100	299	5.1	332	5.1	332	5.1	3.64E-07
M5-118D	14Y-68495	9/8/14	12:03	N	0	342.6	25.8	16.6	25.8	16.6	25.8	2.33E-05
M5-118D	14Y-68496	9/8/14	12:05	A	5	340.9	31	14.9	31	14.9	31	1.31E-05
M5-118D	14Y-68497	9/8/14	12:06	A	10	330.6	41	4.6	41	4.6	41	6.04E-06
M5-118D	14Y-68498	9/8/14	12:08	A	15	327.5	40.8	1.5	40.8	1.5	40.8	3.91E-06
M5-118D	14Y-68499	9/8/14	12:10	A	20	328.6	43.1	2.6	43.1	2.6	43.1	3.19E-06
M5-118D	14Y-68500	9/8/14	12:12	A	30	332.5	39.6	6.5	39.6	6.5	39.6	1.80E-06
M5-118D	14Y-68501	9/8/14	12:14	A	40	338.2	49.9	12.2	49.9	12.2	49.9	1.06E-06
M5-118D	14Y-68502	9/8/14	12:16	A	50	339.5	37.1	13.5	37.1	13.5	37.1	8.01E-07
M5-118D	14Y-68503	9/8/14	12:19	A	65	334.2	49.2	8.2	49.2	8.2	49.2	6.66E-07
M5-118D	14Y-68504	9/8/14	12:21	A	80	1.7	-3.1	35.7	-3.1	35.7	-3.1	5.78E-07
M5-118D	14Y-68505	9/8/14	12:24	A	100	346.8	24.6	20.8	24.6	20.8	24.6	6.25E-07
M5-119D	14Y-68506	9/8/14	13:05	N	0	192.4	16	227.4	16	227.4	16	8.98E-06
M5-119D	14Y-68507	9/8/14	13:06	A	5	257.7	53.4	292.7	53.4	292.7	53.4	4.75E-06
M5-119D	14Y-68508	9/8/14	13:08	A	10	301.5	53.5	336.5	53.5	336.5	53.5	3.87E-06
M5-119D	14Y-68509	9/8/14	13:10	A	15	313.3	48.4	348.3	48.4	348.3	48.4	2.75E-06
M5-119D	14Y-68510	9/8/14	13:11	A	20	317.7	49.3	352.7	49.3	352.7	49.3	2.26E-06
M5-119D	14Y-68511	9/8/14	13:13	A	30	304.3	49.7	339.3	49.7	339.3	49.7	1.37E-06
M5-119D	14Y-68512	9/8/14	13:15	A	40	313.2	45.4	348.2	45.4	348.2	45.4	1.04E-06
M5-119D	14Y-68513	9/8/14	13:18	A	50	313.4	44.7	348.4	44.7	348.4	44.7	7.18E-07
M5-119D	14Y-68514	9/8/14	13:20	A	65	298	18.4	333	18.4	333	18.4	6.90E-07
M5-119D	14Y-68515	9/8/14	13:23	A	80	303.6	60.2	338.6	60.2	338.6	60.2	7.64E-07
