tab 	sites
age_high	age_low	age_unit	citations	core_depth	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site
13	0	Ma	This study	5.5	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_4A-1
13	0	Ma	This study	5.55	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_4A-1.05
13	0	Ma	This study	5.6	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_4A-1.1
13	0	Ma	This study	5.65	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_4A-1.15
13	0	Ma	This study	5.7	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_4A-1.2
13	0	Ma	This study	5.75	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_4A-1.25
13	0	Ma	This study	5.8	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_4A-1.3
13	0	Ma	This study	5.85	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_4A-1.35
13	0	Ma	This study	5.9	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_4A-1.4
13	0	Ma	This study	5.95	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_4A-1.45
13	0	Ma	This study	6.1	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.1
13	0	Ma	This study	6.15	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.15
13	0	Ma	This study	6.2	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.2
13	0	Ma	This study	6.25	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.25
13	0	Ma	This study	6.3	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.3
13	0	Ma	This study	6.35	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.35
13	0	Ma	This study	6.4	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.4
13	0	Ma	This study	6.45	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.45
13	0	Ma	This study	6.5	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.5
13	0	Ma	This study	6.55	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.55
13	0	Ma	This study	6.6	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.6
13	0	Ma	This study	6.65	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.65
13	0	Ma	This study	6.7	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.7
13	0	Ma	This study	6.75	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.75
13	0	Ma	This study	6.8	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.8
13	0	Ma	This study	6.85	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.85
13	0	Ma	This study	6.9	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.9
13	0	Ma	This study	6.95	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-0.95
13	0	Ma	This study	7	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-1
13	0	Ma	This study	7.05	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-1.05
13	0	Ma	This study	7.1	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-1.1
13	0	Ma	This study	7.15	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-1.15
13	0	Ma	This study	7.2	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-1.2
13	0	Ma	This study	7.25	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-1.25
13	0	Ma	This study	7.3	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-1.3
13	0	Ma	This study	7.35	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-1.35
13	0	Ma	This study	7.4	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-1.4
13	0	Ma	This study	7.45	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_5A-1.45
13	0	Ma	This study	7.6	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_6A-0.1
13	0	Ma	This study	7.65	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_6A-0.15
13	0	Ma	This study	7.7	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_6A-0.2
13	0	Ma	This study	7.75	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_6A-0.25
13	0	Ma	This study	7.8	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_6A-0.3
13	0	Ma	This study	7.85	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_6A-0.35
13	0	Ma	This study	7.9	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_6A-0.4
