tab 	specimens
aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	citations	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
0.3412974:0.3419211:0.3167815:-0.0014312:0.0040548:0.0054152	192	0.0001111	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-008H-6-W-83		318-U1361A-008H-6-W-83
0.3390075:0.3383546:0.3226379:-0.000008:0.0015092:0.0015279	192	0.0003943	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-008H-7-W-28		318-U1361A-008H-7-W-28
0.3327942:0.3343801:0.3328258:-0.0000892:0.000383:0.0001882	192	0.0001291	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-009H-1-W-94		318-U1361A-009H-1-W-94
0.3345993:0.3331557:0.332245:0.0002678:-0.0003012:0.0001579	192	8.640000000000001e-05	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-009H-2-W-77		318-U1361A-009H-2-W-77
0.3362291:0.3358496:0.3279213:-0.0004417:-0.0011499:-0.0005229	192	0.0003403	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-009H-3-W-63		318-U1361A-009H-3-W-63
0.338717:0.3369504:0.3243326:0.0001771:-0.0008189:0.0002451	192	0.0001339	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-009H-4-W-107		318-U1361A-009H-4-W-107
0.3441885:0.343239:0.3125726:0.0000817:-0.0019813:0.000967	192	0.0001646	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-009H-5-W-22		318-U1361A-009H-5-W-22
0.3400281:0.3395401:0.3204318:0.0000659:-0.0013457:0.0002401	192	0.0001461	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-009H-6-W-51		318-U1361A-009H-6-W-51
0.3401502:0.3376302:0.3222197:0.0001926:-0.0004757:-0.0002548	192	0.0001541	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-009H-7-W-53		318-U1361A-009H-7-W-53
0.3377612:0.3376504:0.3245884:0.0003085:-0.0000329:0.0019256	192	9.2e-05	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-010H-1-W-86		318-U1361A-010H-1-W-86
0.3444499:0.3448324:0.3107177:-0.000208:0.0033325:0.0028325	192	0.0001697	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-010H-2-W-88		318-U1361A-010H-2-W-88
0.3384165:0.3375647:0.3240188:-0.0007507:-0.0000116:0.0021201	192	0.0001213	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-010H-3-W-51		318-U1361A-010H-3-W-51
0.34623:0.3455828:0.3081872:0.0001817:0.0021571:-0.0007754	192	0.0002049	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-010H-4-W-81		318-U1361A-010H-4-W-81
0.3342545:0.3336594:0.3320861:0.0001862:0.0000645:0.0000143	192	0.0001294	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-010H-5-W-58		318-U1361A-010H-5-W-58
0.3330199:0.334288:0.332692:0.0002367:-0.0000409:-0.000186	192	0.0001683	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-010H-6-W-16		318-U1361A-010H-6-W-16
0.3335613:0.3340672:0.3323715:0.0000069:0.0003771:0.0011778	192	0.0001086	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-010H-7-W-17		318-U1361A-010H-7-W-17
0.3344948:0.3347018:0.3308033:-0.0004128:0.0006154:0.001599	192	8.840000000000001e-05	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-011H-1-W-75		318-U1361A-011H-1-W-75
0.3384526:0.337412:0.3241354:-0.0000465:-0.0027806:0.0014579	192	0.0001778	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-011H-2-W-95		318-U1361A-011H-2-W-95
0.3431628:0.3420962:0.3147411:-0.0002826:-0.0008284:0.000158	192	0.0001399	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-011H-3-W-82		318-U1361A-011H-3-W-82
0.3312183:0.3349326:0.3338491:-0.0003291:-0.0023658:0.0053956	192	9.449999999999999e-05	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-011H-4-W-99		318-U1361A-011H-4-W-99
0.3324533:0.3343835:0.3331632:-0.0001554:-0.0015042:0.0015135	192	0.0001012	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-011H-5-W-92		318-U1361A-011H-5-W-92
0.3319249:0.3364439:0.3316312:-0.0003205:-0.0021033:0.0027729	192	9.259999999999999e-05	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-011H-6-W-77		318-U1361A-011H-6-W-77
