tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference
16749	3	2020-02-15T20:31:55.746Z	@ltauxe	3.0	10.1016/J.EPSL.2014.12.034
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	expedition_name	expedition_ship	expedition_leg	expedition_url	geologic_classes	lithologies	tectonic_settings	lat_s	lat_n	lon_w	lon_e	continent_ocean	region	age_low	age_high	age_unit
U1361A	Drill Site	This study	318	JOIDES Resolution	318	http://publications.iodp.org/proceedings/318/318toc.htm	Sedimentary	Silicate Clay:Silty Clay	Continental Shelf	-64.2457	-64.2457	143.532	143.532	Indian Ocean	Wilkes Land Margin	0	12	ma
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	core_depth	age_low	age_high	age_unit
318-U1361A-001H_2A-1.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.95	0	13	Ma
318-U1361A-001H_3A-0.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.1	0	13	Ma
318-U1361A-001H_3A-0.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.15	0	13	Ma
318-U1361A-001H_3A-0.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.2	0	13	Ma
318-U1361A-001H_3A-0.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.25	0	13	Ma
318-U1361A-001H_3A-0.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.3	0	13	Ma
318-U1361A-001H_3A-0.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.35	0	13	Ma
318-U1361A-001H_3A-0.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.4	0	13	Ma
318-U1361A-001H_3A-0.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.45	0	13	Ma
318-U1361A-001H_3A-0.5	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.5	0	13	Ma
318-U1361A-001H_3A-0.55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.55	0	13	Ma
318-U1361A-001H_3A-0.6	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.6	0	13	Ma
318-U1361A-001H_3A-0.65	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.65	0	13	Ma
318-U1361A-001H_3A-0.7	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.7	0	13	Ma
318-U1361A-001H_3A-0.75	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.75	0	13	Ma
318-U1361A-001H_3A-0.8	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.8	0	13	Ma
318-U1361A-001H_3A-0.85	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.85	0	13	Ma
318-U1361A-001H_3A-0.9	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.9	0	13	Ma
318-U1361A-001H_3A-0.95	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.95	0	13	Ma
318-U1361A-001H_3A-1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4	0	13	Ma
318-U1361A-001H_3A-1.05	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.05	0	13	Ma
318-U1361A-001H_3A-1.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.1	0	13	Ma
318-U1361A-001H_3A-1.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.15	0	13	Ma
318-U1361A-001H_3A-1.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.2	0	13	Ma
318-U1361A-001H_3A-1.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.25	0	13	Ma
318-U1361A-001H_3A-1.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.3	0	13	Ma
318-U1361A-001H_3A-1.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.35	0	13	Ma
318-U1361A-001H_3A-1.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.4	0	13	Ma
318-U1361A-001H_3A-1.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.45	0	13	Ma
318-U1361A-001H_4A-0.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.6	0	13	Ma
318-U1361A-001H_4A-0.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.65	0	13	Ma
318-U1361A-001H_4A-0.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.7	0	13	Ma
318-U1361A-001H_4A-0.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.75	0	13	Ma
318-U1361A-001H_4A-0.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.8	0	13	Ma
318-U1361A-001H_4A-0.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.85	0	13	Ma
318-U1361A-001H_4A-0.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.9	0	13	Ma
318-U1361A-001H_4A-0.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	4.95	0	13	Ma
318-U1361A-001H_4A-0.5	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5	0	13	Ma
318-U1361A-001H_4A-0.55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.05	0	13	Ma
318-U1361A-001H_4A-0.6	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.1	0	13	Ma
318-U1361A-001H_4A-0.65	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.15	0	13	Ma
318-U1361A-001H_4A-0.7	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.2	0	13	Ma
318-U1361A-001H_4A-0.75	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.25	0	13	Ma
318-U1361A-001H_4A-0.8	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.3	0	13	Ma
318-U1361A-001H_4A-0.85	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.35	0	13	Ma
318-U1361A-001H_4A-0.9	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.4	0	13	Ma
318-U1361A-001H_4A-0.95	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.45	0	13	Ma
318-U1361A-001H_4A-1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.5	0	13	Ma
318-U1361A-001H_4A-1.05	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.55	0	13	Ma
318-U1361A-001H_4A-1.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.6	0	13	Ma
318-U1361A-001H_4A-1.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.65	0	13	Ma
318-U1361A-001H_4A-1.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.7	0	13	Ma
318-U1361A-001H_4A-1.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.75	0	13	Ma
318-U1361A-001H_4A-1.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.8	0	13	Ma
318-U1361A-001H_4A-1.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.85	0	13	Ma
318-U1361A-001H_4A-1.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.9	0	13	Ma
318-U1361A-001H_4A-1.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5.95	0	13	Ma
318-U1361A-001H_5A-0.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.1	0	13	Ma
318-U1361A-001H_5A-0.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.15	0	13	Ma
318-U1361A-001H_5A-0.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.2	0	13	Ma
318-U1361A-001H_5A-0.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.25	0	13	Ma
318-U1361A-001H_5A-0.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.3	0	13	Ma
318-U1361A-001H_5A-0.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.35	0	13	Ma
318-U1361A-001H_5A-0.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.4	0	13	Ma
318-U1361A-001H_5A-0.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.45	0	13	Ma
318-U1361A-001H_5A-0.5	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.5	0	13	Ma
318-U1361A-001H_5A-0.55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.55	0	13	Ma
318-U1361A-001H_5A-0.6	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.6	0	13	Ma
318-U1361A-001H_5A-0.65	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.65	0	13	Ma
318-U1361A-001H_5A-0.7	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.7	0	13	Ma
318-U1361A-001H_5A-0.75	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.75	0	13	Ma
318-U1361A-001H_5A-0.8	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.8	0	13	Ma
318-U1361A-001H_5A-0.85	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.85	0	13	Ma
318-U1361A-001H_5A-0.9	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.9	0	13	Ma
318-U1361A-001H_5A-0.95	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.95	0	13	Ma
318-U1361A-001H_5A-1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7	0	13	Ma
318-U1361A-001H_5A-1.05	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.05	0	13	Ma
318-U1361A-001H_5A-1.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.1	0	13	Ma
318-U1361A-001H_5A-1.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.15	0	13	Ma
318-U1361A-001H_5A-1.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.2	0	13	Ma
318-U1361A-001H_5A-1.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.25	0	13	Ma
318-U1361A-001H_5A-1.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.3	0	13	Ma
318-U1361A-001H_5A-1.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.35	0	13	Ma
318-U1361A-001H_5A-1.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.4	0	13	Ma
318-U1361A-001H_5A-1.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.45	0	13	Ma
318-U1361A-001H_6A-0.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.6	0	13	Ma
318-U1361A-001H_6A-0.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.65	0	13	Ma
318-U1361A-001H_6A-0.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.7	0	13	Ma
318-U1361A-001H_6A-0.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.75	0	13	Ma
318-U1361A-001H_6A-0.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.8	0	13	Ma
318-U1361A-001H_6A-0.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.85	0	13	Ma
318-U1361A-001H_6A-0.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.9	0	13	Ma
318-U1361A-001H_6A-0.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	7.95	0	13	Ma
318-U1361A-001H_6A-0.5	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8	0	13	Ma
318-U1361A-001H_6A-0.55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.05	0	13	Ma
318-U1361A-001H_6A-0.6	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.1	0	13	Ma
318-U1361A-001H_6A-0.65	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.15	0	13	Ma
318-U1361A-001H_6A-0.7	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.2	0	13	Ma
318-U1361A-001H_6A-0.75	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.25	0	13	Ma
318-U1361A-001H_6A-0.8	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.3	0	13	Ma
318-U1361A-001H_6A-0.85	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.35	0	13	Ma
318-U1361A-001H_6A-0.9	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.4	0	13	Ma
318-U1361A-001H_6A-0.95	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.45	0	13	Ma
318-U1361A-001H_6A-1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.5	0	13	Ma
318-U1361A-001H_6A-1.05	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.55	0	13	Ma
318-U1361A-001H_6A-1.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.6	0	13	Ma
318-U1361A-001H_6A-1.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.65	0	13	Ma
318-U1361A-001H_6A-1.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.7	0	13	Ma
318-U1361A-001H_6A-1.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.75	0	13	Ma
318-U1361A-001H_6A-1.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.8	0	13	Ma
318-U1361A-001H_6A-1.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.85	0	13	Ma
318-U1361A-002H-4-W-114	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	14.64	0	13	Ma
318-U1361A-002H-4-W-84	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	14.34	0	13	Ma
