tab	contribution
magic_version	doi
3.0	10.1139/e74-113
>>>>>>>>>>
tab 	locations																																	
location_name	site_names	result_type	method_codes	citations	location_type	geologic_classes	lithologies	plate_blocks	tectonic_settings	lat_s	lat_n	lon_w	lon_e	continent_ocean	country	region	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_r	dir_k	dir_n_sites	fold_test	conglomerate_test	contact_test	reversal_test	pole_comp_name	pole_lat	pole_lon	pole_alpha95	pole_n_sites	rock_magnetic_test	description
Osler Volcanics, Nipigon Strait, Lower Reversed				This study	Region	Extrusive	Basalt	North American Plate	Continental Rift	48.711501	48.66	271.93353	271.95	North America	Canada	Lake Superior																		
Osler Volcanics, Nipigon Strait, Upper Normal				This study	Region	Extrusive	Basalt	North American Plate	Continental Rift	48.64	48.66	271.91	271.96	North America	Canada	Lake Superior																		
Osler Volcanics, Nipigon Strait, Lower Reversed	6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30	a	DE-FM:DE-VGP:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:Fisher 1953:McElhinny & McFadden 2000													100	114.967445	-57.57295621	4.624479368	24.4024562	40.16441995	25	ND	ND	ND	ND	Characteristic	33.85573654	178.2632514	8.678164894	5	ND	All Reversed Flows
Osler Volcanics, Nipigon Strait, Upper Normal	1:2:3:4:5	a	DE-FM:DE-VGP:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:Fisher 1953:McElhinny & McFadden 2000													100	296.4616437	39.46409514	8.47928537	4.951447891	82.38571031	5	ND	ND	ND	ND	Characteristic	43.6574194	196.3384635	5.853207367	25	ND	All Normal Flows
>>>>>>>>>>
tab 	sites
location_name	site_name	result_type	method_codes	citations	bed_dip	bed_dip_direction	geologic_classes	geologic_types	lithologies	lat	lon	dir_tilt_correction	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	conglomerate_test	vgp_lat	vgp_lon	vgp_n_samples	description
Osler Volcanics, Nipigon Strait, Lower Reversed	14		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	20	120	Extrusive	Lava Flow	Basalt			100	108.2	-55.8	121	6	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	14	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.648101	271.917061	100	108.2	-55.8		1		ND	37.66708688	196.7525337	1	VGP:Site 14
Osler Volcanics, Nipigon Strait, Lower Reversed	15		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	30	115	Extrusive	Lava Flow	Basalt			0	117.6	-16.1	402	6	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	15		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	30	115	Extrusive	Lava Flow	Basalt			100	118.5	-46	402	6	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	15	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.646972	271.90239	100	118.5	-46		1		ND	38.68951021	180.8531755	1	VGP:Site 15
Osler Volcanics, Nipigon Strait, Lower Reversed	16		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	45	110	Extrusive	Lava Flow	Basalt			0	107.7	-9.3	125	6	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	16		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	45	110	Extrusive	Lava Flow	Basalt			100	106	-54.2	125	6	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	16	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.639491	271.89768	100	106	-54.2		1		ND	35.26202829	196.5441708	1	VGP:Site 16
Osler Volcanics, Nipigon Strait, Lower Reversed	17		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	25	110	Extrusive	Lava Flow	Basalt			0	99.1	-29.8	362	4	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	17		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	25	110	Extrusive	Lava Flow	Basalt			100	93.7	-54.1	362	4	r					
