tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	description
14132	4	2015-02-20T12:21:14.000Z	@ltauxe	3.0	10.1111/j.1365-246X.1997.tb04082.x	Upgraded to MagIC Data Model 3.0 by the MagIC Database Team
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	plate_blocks	lat_s	lat_n	lon_w	lon_e	continent_ocean
DSDP Site 522	Drill Site	This study	African Plate	-27	-27	355	355	Atlantic Ocean
>>>>>>>>>>
tab delimited	sites
site	location	citations	geologic_classes	geologic_types	lithologies	core_depth	age	age_unit
15-2-147	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.06	23.6323	Ma
15-2-150	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.09	23.6377	Ma
15-3-001	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.1	23.6394	Ma
15-3-004	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.14	23.6465	Ma
15-3-007	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.17	23.6519	Ma
15-3-010	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.2	23.6572	Ma
15-3-013	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.23	23.6625	Ma
15-3-015	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.25	23.6661	Ma
15-3-019	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.29	23.6732	Ma
15-3-022	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.32	23.6785	Ma
15-3-025	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.34	23.6821	Ma
15-3-028	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.38	23.6892	Ma
15-3-031	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.41	23.6945	Ma
15-3-035	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.44	23.6998	Ma
15-3-038	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.47	23.7051	Ma
15-3-041	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.5	23.7105	Ma
15-3-044	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.53	23.7158	Ma
15-3-047	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.56	23.7211	Ma
15-3-051	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.61	23.73	Ma
15-3-054	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.63	23.7339	Ma
15-3-057	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.66	23.7398	Ma
15-3-061	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.71	23.7495	Ma
15-3-064	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.73	23.7534	Ma
15-3-067	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.76	23.7593	Ma
15-3-071	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.8	23.7671	Ma
15-3-075	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.84	23.7749	Ma
15-3-078	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.87	23.7807	Ma
15-3-080	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.9	23.7866	Ma
15-3-083	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.93	23.7924	Ma
15-3-086	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.96	23.7983	Ma
15-3-089	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.99	23.8041	Ma
15-3-092	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	59.02	23.81	Ma
15-3-096	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	59.05	23.8162	Ma
15-3-098	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	59.07	23.8203	Ma
15-3-101	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	59.11	23.8285	Ma
15-3-104	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	59.14	23.8347	Ma
15-3-107	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	59.16	23.8388	Ma
15-3-109	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	59.19	23.845	Ma
15-3-112	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	59.22	23.8511	Ma
