tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.5	67.2		g	-83.2	5.02e-06	11	1	2.15e-08	4.15e-08	7.40e-09	u	273	0	0	573.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.3	57.2		g	-82.2	4.74e-06	12	1	1.74e-08	1.46e-08	4.33e-09	u	273	0	0	623.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.0	61.3		g	-82.4	4.68e-06	13	1	5.97e-08	5.17e-08	7.39e-09	u	273	0	0	673.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.7	59.6		g	-82.0	4.45e-06	14	1	4.99e-08	2.38e-08	2.97e-09	u	273	0	0	723.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	50.9		g	-81.7	4.11e-06	15	1	4.81e-08	2.91e-08	4.44e-09	u	273	0	0	773.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	46.8		g	-81.8	3.91e-06	16	1	3.30e-08	4.18e-08	3.55e-09	u	273	0	0	798.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.4	46.2		g	-81.3	3.28e-06	17	1	1.75e-08	1.66e-08	2.92e-09	u	273	0	0	823.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.7	50.6		g	-80.6	2.32e-06	18	1	2.18e-08	2.11e-08	2.01e-09	u	273	0	0	853.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.9	51.2		g	-80.6	2.31e-06	19	1	2.88e-08	2.12e-08	2.05e-09	u	273	0	0	868.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.3	46.5		g	-80.5	2.00e-06	20	1	9.22e-09	7.38e-09	2.67e-09	u	273	0	0	883.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.0	51.2		g	-80.7	1.97e-06	21	1	2.90e-08	2.03e-08	1.90e-09	u	273	0	0	898.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	52.7		g	-81.9	1.57e-06	22	1	4.08e-08	2.99e-08	1.77e-09	u	273	0	0	913.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.7	51.4		g	-80.4	1.54e-06	23	1	1.54e-08	1.06e-08	1.71e-09	u	273	0	0	928.0
