tab 	er_locations
plate_block	location_type	er_citation_names	continent_ocean	location_end_lat	location_begin_lon	er_location_name	location_begin_lat	location_end_lon
African Plate	Drill Site	This study	Atlantic Ocean	-27	355	DSDP Site 522	-27	355
>>>>>>>>>>
tab 	er_samples
er_citation_names	er_site_name	er_sample_name	sample_core_depth	er_location_name	magic_method_codes
This study	15-3-083	15-3-083	58.93	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-086	15-3-086	58.96	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-089	15-3-089	58.99	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-092	15-3-092	59.02	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-096	15-3-096	59.05	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-098	15-3-098	59.07	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-101	15-3-101	59.11	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-104	15-3-104	59.14	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-107	15-3-107	59.16	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-109	15-3-109	59.19	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-112	15-3-112	59.22	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-115	15-3-115	59.25	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-118	15-3-118	59.28	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-122	15-3-122	59.31	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-125	15-3-125	59.34	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-129	15-3-129	59.38	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-098	16-1-098	60.47	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-101	16-1-101	60.51	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-104	16-1-104	60.54	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-108	16-1-108	60.57	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-110	16-1-110	60.6	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-115	16-1-115	60.64	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-119	16-1-119	60.68	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-122	16-1-122	60.72	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-125	16-1-125	60.74	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-128	16-1-128	60.77	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-131	16-1-131	60.8	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-134	16-1-134	60.83	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-137	16-1-137	60.87	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-140	16-1-140	60.89	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-142	16-1-142	60.92	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-145	16-1-145	60.94	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-1-148	16-1-148	60.98	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-001	16-2-001	61.01	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-005	16-2-005	61.05	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-008	16-2-008	61.08	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-012	16-2-012	61.12	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-015	16-2-015	61.15	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-018	16-2-018	61.17	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-021	16-2-021	61.2	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-024	16-2-024	61.23	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-029	16-2-029	61.28	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-032	16-2-032	61.31	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-034	16-2-034	61.34	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-038	16-2-038	61.38	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-041	16-2-041	61.4	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-050	16-2-050	61.49	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-053	16-2-053	61.52	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-056	16-2-056	61.55	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-059	16-2-059	61.58	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-2-061	16-2-061	61.6	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
