tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	U1361A	318-U1361A-002H-5-W-108	318-U1361A-002H-5-W-108	318-U1361A-002H-5-W-108	318-U1361A-002H-5-W-108:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.80E-01	1.00E-02	T		A	u	7.2	232.3		l	48.6	2.8	11	-1
	This study	U1361A	318-U1361A-002H-5-W-131	318-U1361A-002H-5-W-131	318-U1361A-002H-5-W-131	318-U1361A-002H-5-W-131:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.80E-01	1.00E-02	T		A	u	1.9	254.9		l	63.7	3.6	11	-1
	This study	U1361A	318-U1361A-002H-6-W-63	318-U1361A-002H-6-W-63	318-U1361A-002H-6-W-63	318-U1361A-002H-6-W-63:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	9.7	185.5		l	71.8	8.8	8	-1
	This study	U1361A	318-U1361A-002H-6-W-91	318-U1361A-002H-6-W-91	318-U1361A-002H-6-W-91	318-U1361A-002H-6-W-91:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.80E-01	1.00E-02	T		A	u	31.4	327.3		l	65.6	19	11	-1
	This study	U1361A	318-U1361A-002H-6-W-118	318-U1361A-002H-6-W-118	318-U1361A-002H-6-W-118	318-U1361A-002H-6-W-118:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	1.8	240.7		l	80.3	2.4	8	-1
	This study	U1361A	318-U1361A-002H-6-W-145	318-U1361A-002H-6-W-145	318-U1361A-002H-6-W-145	318-U1361A-002H-6-W-145:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.20E-01	1.00E-02	T		A	u	0.7	30.8		l	-81.6	1	9	-1
	This study	U1361A	318-U1361A-002H-7-W-34	318-U1361A-002H-7-W-34	318-U1361A-002H-7-W-34	318-U1361A-002H-7-W-34:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	8.00E-02	1.00E-02	T		A	u	1.7	59.6		l	-81.1	1.9	7	-1
	This study	U1361A	318-U1361A-003H-2-W-12	318-U1361A-003H-2-W-12	318-U1361A-003H-2-W-12	318-U1361A-003H-2-W-12:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	1.3	31.7		l	74.8	1.4	8	-1
	This study	U1361A	318-U1361A-003H-2-W-32	318-U1361A-003H-2-W-32	318-U1361A-003H-2-W-32	318-U1361A-003H-2-W-32:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	6.6	44.9		l	54.8	6.1	8	-1
	This study	U1361A	318-U1361A-003H-2-W-58	318-U1361A-003H-2-W-58	318-U1361A-003H-2-W-58	318-U1361A-003H-2-W-58:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	9.4	40.5		l	-56.6	9.3	8	-1
	This study	U1361A	318-U1361A-003H-2-W-80	318-U1361A-003H-2-W-80	318-U1361A-003H-2-W-80	318-U1361A-003H-2-W-80:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	6.00E-02	1.00E-02	T		A	u	1	217.4		l	-61.2	7.2	6	-1
	This study	U1361A	318-U1361A-003H-2-W-107	318-U1361A-003H-2-W-107	318-U1361A-003H-2-W-107	318-U1361A-003H-2-W-107:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.50E-01	1.00E-02	T		A	u	2.7	33.4		l	62	3.3	10	-1
	This study	U1361A	318-U1361A-003H-2-W-129	318-U1361A-003H-2-W-129	318-U1361A-003H-2-W-129	318-U1361A-003H-2-W-129:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	5.3	14.4		l	46	8.4	8	-1
	This study	U1361A	318-U1361A-003H-3-W-10	318-U1361A-003H-3-W-10	318-U1361A-003H-3-W-10	318-U1361A-003H-3-W-10:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	1.4	30		l	76.1	2.3	8	-1
	This study	U1361A	318-U1361A-003H-3-W-32	318-U1361A-003H-3-W-32	318-U1361A-003H-3-W-32	318-U1361A-003H-3-W-32:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.20E-01	1.00E-02	T		A	u	2.6	26.2		l	74.3	1.9	9	-1
	This study	U1361A	318-U1361A-003H-3-W-60	318-U1361A-003H-3-W-60	318-U1361A-003H-3-W-60	318-U1361A-003H-3-W-60:LP-DIR-AF	LP-DIR-AF:DE-FM	pmagpy-2.77	4.00E-02	1.00E-02	T	8.5	A	u	-1	87.7		l	76.4		5	-1
	This study	U1361A	318-U1361A-003H-3-W-80	318-U1361A-003H-3-W-80	318-U1361A-003H-3-W-80	318-U1361A-003H-3-W-80:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	8.4	127.7		l	69.5	2.8	8	-1
	This study	U1361A	318-U1361A-003H-3-W-100	318-U1361A-003H-3-W-100	318-U1361A-003H-3-W-100	318-U1361A-003H-3-W-100:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	4.2	44.4		l	83.7	2	8	-1
	This study	U1361A	318-U1361A-003H-3-W-119	318-U1361A-003H-3-W-119	318-U1361A-003H-3-W-119	318-U1361A-003H-3-W-119:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	7.3	119.2		l	66.6	6.7	8	-1
	This study	U1361A	318-U1361A-003H-3-W-135	318-U1361A-003H-3-W-135	318-U1361A-003H-3-W-135	318-U1361A-003H-3-W-135:LP-DIR-AF	LP-DIR-AF:DE-FM	pmagpy-2.77	4.00E-02	1.00E-02	T	10	A	u	-1	337.7		l	64.4		5	-1
	This study	U1361A	318-U1361A-003H-4-W-29	318-U1361A-003H-4-W-29	318-U1361A-003H-4-W-29	318-U1361A-003H-4-W-29:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.50E-01	1.00E-02	T		A	u	1.6	61.6		l	77.8	1.2	10	-1
	This study	U1361A	318-U1361A-003H-4-W-50	318-U1361A-003H-4-W-50	318-U1361A-003H-4-W-50	318-U1361A-003H-4-W-50:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.50E-01	1.00E-02	T		A	u	2.6	51.2		l	72.2	1.8	10	-1
	This study	U1361A	318-U1361A-003H-4-W-84	318-U1361A-003H-4-W-84	318-U1361A-003H-4-W-84	318-U1361A-003H-4-W-84:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	1.6	35.5		l	83.3	1.8	8	-1
	This study	U1361A	318-U1361A-003H-4-W-98	318-U1361A-003H-4-W-98	318-U1361A-003H-4-W-98	318-U1361A-003H-4-W-98:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.50E-01	1.00E-02	T		A	u	1.5	21.2		l	71.7	2.2	10	-1
	This study	U1361A	318-U1361A-003H-4-W-120	318-U1361A-003H-4-W-120	318-U1361A-003H-4-W-120	318-U1361A-003H-4-W-120:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.50E-01	1.00E-02	T		A	u	0.4	19		l	73.9	1.4	10	-1
	This study	U1361A	318-U1361A-003H-5-W-5	318-U1361A-003H-5-W-5	318-U1361A-003H-5-W-5	318-U1361A-003H-5-W-5:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.50E-01	1.00E-02	T		A	u	1.7	38.3		l	76.1	1.1	10	-1
	This study	U1361A	318-U1361A-003H-5-W-29	318-U1361A-003H-5-W-29	318-U1361A-003H-5-W-29	318-U1361A-003H-5-W-29:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.50E-01	1.00E-02	T		A	u	1.2	12.9		l	71.4	2.3	10	-1
	This study	U1361A	318-U1361A-003H-5-W-53	318-U1361A-003H-5-W-53	318-U1361A-003H-5-W-53	318-U1361A-003H-5-W-53:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.50E-01	1.00E-02	T		A	u	3	10.8		l	75.1	2.4	10	-1
	This study	U1361A	318-U1361A-003H-5-W-75	318-U1361A-003H-5-W-75	318-U1361A-003H-5-W-75	318-U1361A-003H-5-W-75:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	8.00E-02	1.00E-02	T		A	u	2	38.2		l	85.6	2.4	7	-1
	This study	U1361A	318-U1361A-003H-5-W-89	318-U1361A-003H-5-W-89	318-U1361A-003H-5-W-89	318-U1361A-003H-5-W-89:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.50E-01	1.00E-02	T		A	u	2.6	26.2		l	74.8	1.8	10	-1
	This study	U1361A	318-U1361A-003H-5-W-112	318-U1361A-003H-5-W-112	318-U1361A-003H-5-W-112	318-U1361A-003H-5-W-112:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.80E-01	1.00E-02	T		A	u	5.7	341.8		l	66.9	1.7	11	-1
	This study	U1361A	318-U1361A-003H-5-W-132	318-U1361A-003H-5-W-132	318-U1361A-003H-5-W-132	318-U1361A-003H-5-W-132:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	4.8	325.7		l	77.4	6.7	8	-1
	This study	U1361A	318-U1361A-003H-6-W-66	318-U1361A-003H-6-W-66	318-U1361A-003H-6-W-66	318-U1361A-003H-6-W-66:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	0.4	12.6		l	78.9	1.5	8	-1
	This study	U1361A	318-U1361A-003H-7-W-50	318-U1361A-003H-7-W-50	318-U1361A-003H-7-W-50	318-U1361A-003H-7-W-50:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	8.00E-02	1.00E-02	T		A	u	4.8	45.1		l	82.1	4.4	7	-1
	This study	U1361A	318-U1361A-004H-4-W-69	318-U1361A-004H-4-W-69	318-U1361A-004H-4-W-69	318-U1361A-004H-4-W-69:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	0.1	318.5		l	-79.4	0.9	8	-1
	This study	U1361A	318-U1361A-004H-5-W-70	318-U1361A-004H-5-W-70	318-U1361A-004H-5-W-70	318-U1361A-004H-5-W-70:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.80E-01	4.00E-02	T		A	u	14.1	82.3		l	-70.1	3.9	7	-1
	This study	U1361A	318-U1361A-004H-6-W-63	318-U1361A-004H-6-W-63	318-U1361A-004H-6-W-63	318-U1361A-004H-6-W-63:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	2.00E-02	T		A	u	1.8	191		l	80.3	1.1	6	-1
	This study	U1361A	318-U1361A-005H-6-W-48	318-U1361A-005H-6-W-48	318-U1361A-005H-6-W-48	318-U1361A-005H-6-W-48:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	2.00E-02	T		A	u	0.4	169.3		l	85.3	0.3	6	-1
	This study	U1361A	318-U1361A-006H-3-W-54	318-U1361A-006H-3-W-54	318-U1361A-006H-3-W-54	318-U1361A-006H-3-W-54:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	1.5	37.2		l	-86	0.7	8	-1
	This study	U1361A	318-U1361A-006H-5-W-55	318-U1361A-006H-5-W-55	318-U1361A-006H-5-W-55	318-U1361A-006H-5-W-55:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	8.00E-02	1.50E-02	T		A	u	0.5	226.7		l	-81	1.4	6	-1
	This study	U1361A	318-U1361A-006H-6-W-55	318-U1361A-006H-6-W-55	318-U1361A-006H-6-W-55	318-U1361A-006H-6-W-55:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.50E-02	T		A	u	1.7	345.5		l	-67	3.2	7	-1
	This study	U1361A	318-U1361A-006H-7-W-98	318-U1361A-006H-7-W-98	318-U1361A-006H-7-W-98	318-U1361A-006H-7-W-98:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	2.00E-02	T		A	u	4.8	297.8		l	-59.9	2.2	6	-1
	This study	U1361A	318-U1361A-040X-5-W-59	318-U1361A-040X-5-W-59	318-U1361A-040X-5-W-59	318-U1361A-040X-5-W-59:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.20E-01	1.00E-02	T		A	u	2.9	40		l	78.1	3.6	10	-1
	This study	U1361A	318-U1361A-040X-6-W-12	318-U1361A-040X-6-W-12	318-U1361A-040X-6-W-12	318-U1361A-040X-6-W-12:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.50E-01	1.00E-02	T		A	u	7.4	205.9		l	74.8	6.5	11	-1
	This study	U1361A	318-U1361A-041X-1-W-44	318-U1361A-041X-1-W-44	318-U1361A-041X-1-W-44	318-U1361A-041X-1-W-44:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	5.00E-03	T		A	u	9.7	311.3		l	83	5.2	10	-1
	This study	U1361A	318-U1361A-001H-2-W-35	318-U1361A-001H-2-W-35	318-U1361A-001H-2-W-35	318-U1361A-001H-2-W-35:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	1.3	67.8		l	-81.2	1.9	8	-1
	This study	U1361A	318-U1361A-007H-1-W-100	318-U1361A-007H-1-W-100	318-U1361A-007H-1-W-100	318-U1361A-007H-1-W-100:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	0.6	77.5		l	-85.2	1.3	8	-1
	This study	U1361A	318-U1361A-007H-2-W-110	318-U1361A-007H-2-W-110	318-U1361A-007H-2-W-110	318-U1361A-007H-2-W-110:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	1.6	113.1		l	-77.2	0.9	8	-1
	This study	U1361A	318-U1361A-007H-3-W-135	318-U1361A-007H-3-W-135	318-U1361A-007H-3-W-135	318-U1361A-007H-3-W-135:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.20E-01	3.00E-02	T		A	u	1	70.8		l	-54.5	1.6	6	-1
	This study	U1361A	318-U1361A-007H-4-W-42	318-U1361A-007H-4-W-42	318-U1361A-007H-4-W-42	318-U1361A-007H-4-W-42:LP-DIR-AF	LT-AF-Z:LP-DIR-AF:LP-DIR-AF:DE-FM	pmagpy-2.112	8.000e-02	2.000e-02	T	7.7	A	u	-1.0	94.6		l	-69.1		5	0
	This study	U1361A	318-U1361A-007H-5-W-110	318-U1361A-007H-5-W-110	318-U1361A-007H-5-W-110	318-U1361A-007H-5-W-110:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	8.00E-02	1.00E-02	T		A	u	0.3	100.5		l	-72.4	1.4	7	-1
	This study	U1361A	318-U1361A-007H-6-W-23	318-U1361A-007H-6-W-23	318-U1361A-007H-6-W-23	318-U1361A-007H-6-W-23:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	1.4	79.3		l	-65.2	1.2	8	-1
	This study	U1361A	318-U1361A-007H-7-W-20	318-U1361A-007H-7-W-20	318-U1361A-007H-7-W-20	318-U1361A-007H-7-W-20:LP-DIR-AF	LT-AF-Z:LP-DIR-AF:LP-DIR-AF:DE-FM	pmagpy-2.112	4.000e-02	1.500e-02	T	9.8	A	u	-1.0	215.4		l	65.1		4	0
	This study	U1361A	318-U1361A-008H-1-W-73	318-U1361A-008H-1-W-73	318-U1361A-008H-1-W-73	318-U1361A-008H-1-W-73:LP-DIR-AF	LT-AF-Z:LP-DIR-AF:LP-DIR-AF:DE-BFL	pmagpy-2.112	8.000e-02	1.500e-02	T		A	u	5.9	282.3		l	-59.7	3.9	6	0
	This study	U1361A	318-U1361A-008H-2-W-92	318-U1361A-008H-2-W-92	318-U1361A-008H-2-W-92	318-U1361A-008H-2-W-92:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	2.00E-02	T		A	u	0.8	307.4		l	-64.6	1.8	6	-1
	This study	U1361A	318-U1361A-008H-3-W-102	318-U1361A-008H-3-W-102	318-U1361A-008H-3-W-102	318-U1361A-008H-3-W-102:LP-DIR-AF	LT-AF-Z:LP-DIR-AF:LP-DIR-AF:DE-BFL	pmagpy-2.112	8.000e-02	1.000e-02	T		A	u	1.7	329.3		l	-79.8	1.7	7	0
	This study	U1361A	318-U1361A-008H-4-W-78	318-U1361A-008H-4-W-78	318-U1361A-008H-4-W-78	318-U1361A-008H-4-W-78:LP-DIR-AF	LT-AF-Z:LP-DIR-AF:LP-DIR-AF:DE-BFL	pmagpy-2.112	8.000e-02	1.500e-02	T		A	u	1.4	90.9		l	-74.8	5.6	6	0
	This study	U1361A	318-U1361A-008H-5-W-67	318-U1361A-008H-5-W-67	318-U1361A-008H-5-W-67	318-U1361A-008H-5-W-67:LP-DIR-AF	LT-AF-Z:LP-DIR-AF:LP-DIR-AF:DE-BFL	pmagpy-2.112	8.000e-02	1.000e-02	T		A	u	3.2	163.7		l	75.5	4.8	7	0
	This study	U1361A	318-U1361A-008H-6-W-83	318-U1361A-008H-6-W-83	318-U1361A-008H-6-W-83	318-U1361A-008H-6-W-83:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.50E-02	T		A	u	5.1	175.7		l	60.2	1.2	7	-1
	This study	U1361A	318-U1361A-008H-7-W-28	318-U1361A-008H-7-W-28	318-U1361A-008H-7-W-28	318-U1361A-008H-7-W-28:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.80E-01	2.00E-02	T		A	u	3.4	118.9		l	57	4.4	9	-1
	This study	U1361A	318-U1361A-009H-1-W-94	318-U1361A-009H-1-W-94	318-U1361A-009H-1-W-94	318-U1361A-009H-1-W-94:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.20E-01	1.00E-02	T		A	u	0.3	54.7		l	-77.7	0.8	9	-1
	This study	U1361A	318-U1361A-009H-2-W-77	318-U1361A-009H-2-W-77	318-U1361A-009H-2-W-77	318-U1361A-009H-2-W-77:LP-DIR-AF	LT-AF-Z:LP-DIR-AF:LP-DIR-AF:DE-BFL	pmagpy-2.112	8.000e-02	1.000e-02	T		A	u	3.1	218.5		l	79.3	1.6	7	0
	This study	U1361A	318-U1361A-009H-3-W-63	318-U1361A-009H-3-W-63	318-U1361A-009H-3-W-63	318-U1361A-009H-3-W-63:LP-DIR-AF	LT-AF-Z:LP-DIR-AF:LP-DIR-AF:DE-FM	pmagpy-2.112	1.500e-01	8.000e-02	T	3.9	A	u	-1.0	158.7		l	46.9		4	0
	This study	U1361A	318-U1361A-009H-4-W-107	318-U1361A-009H-4-W-107	318-U1361A-009H-4-W-107	318-U1361A-009H-4-W-107:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	8.00E-02	1.00E-02	T		A	u	0.8	192.1		l	70.8	1.3	7	-1
	This study	U1361A	318-U1361A-009H-5-W-22	318-U1361A-009H-5-W-22	318-U1361A-009H-5-W-22	318-U1361A-009H-5-W-22:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	0.2	237.5		l	55.3	2	8	-1
	This study	U1361A	318-U1361A-009H-6-W-51	318-U1361A-009H-6-W-51	318-U1361A-009H-6-W-51	318-U1361A-009H-6-W-51:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	0.7	198.5		l	65.8	0.8	8	-1
	This study	U1361A	318-U1361A-009H-7-W-53	318-U1361A-009H-7-W-53	318-U1361A-009H-7-W-53	318-U1361A-009H-7-W-53:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	1.1	233.8		l	65.8	0.8	8	-1
	This study	U1361A	318-U1361A-010H-1-W-86	318-U1361A-010H-1-W-86	318-U1361A-010H-1-W-86	318-U1361A-010H-1-W-86:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	8.00E-02	1.00E-02	T		A	u	1	175.4		l	68.3	0.8	7	-1
	This study	U1361A	318-U1361A-010H-2-W-88	318-U1361A-010H-2-W-88	318-U1361A-010H-2-W-88	318-U1361A-010H-2-W-88:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	2.4	176.5		l	73.3	1.1	8	-1
	This study	U1361A	318-U1361A-010H-3-W-51	318-U1361A-010H-3-W-51	318-U1361A-010H-3-W-51	318-U1361A-010H-3-W-51:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	0.8	166.6		l	64.5	1.3	8	-1
	This study	U1361A	318-U1361A-010H-4-W-81	318-U1361A-010H-4-W-81	318-U1361A-010H-4-W-81	318-U1361A-010H-4-W-81:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	1.9	78.1		l	50.8	2.1	8	-1
	This study	U1361A	318-U1361A-010H-5-W-58	318-U1361A-010H-5-W-58	318-U1361A-010H-5-W-58	318-U1361A-010H-5-W-58:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.50E-02	T		A	u	0.2	166.7		l	78.8	1.2	7	-1
	This study	U1361A	318-U1361A-010H-6-W-16	318-U1361A-010H-6-W-16	318-U1361A-010H-6-W-16	318-U1361A-010H-6-W-16:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	2.00E-02	T		A	u	8.3	267.3		l	79	4	6	-1
	This study	U1361A	318-U1361A-010H-7-W-17	318-U1361A-010H-7-W-17	318-U1361A-010H-7-W-17	318-U1361A-010H-7-W-17:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	0.1	175.6		l	82.6	0.9	8	-1
	This study	U1361A	318-U1361A-011H-1-W-75	318-U1361A-011H-1-W-75	318-U1361A-011H-1-W-75	318-U1361A-011H-1-W-75:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	2.3	237.2		l	77.4	1.4	8	-1
	This study	U1361A	318-U1361A-011H-2-W-95	318-U1361A-011H-2-W-95	318-U1361A-011H-2-W-95	318-U1361A-011H-2-W-95:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	8.00E-02	1.00E-02	T		A	u	2.9	223.9		l	82.2	3.2	7	-1
	This study	U1361A	318-U1361A-011H-3-W-82	318-U1361A-011H-3-W-82	318-U1361A-011H-3-W-82	318-U1361A-011H-3-W-82:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.50E-02	T		A	u	0.6	272.1		l	62.9	1.2	7	-1
	This study	U1361A	318-U1361A-011H-4-W-99	318-U1361A-011H-4-W-99	318-U1361A-011H-4-W-99	318-U1361A-011H-4-W-99:LP-DIR-AF	LT-AF-Z:LP-DIR-AF:LP-DIR-AF:DE-BFL	pmagpy-2.112	8.000e-02	1.500e-02	T		A	u	19.6	164.1		l	-25.6	8.3	6	0
