Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Demag level (mT),Inclination background &amp; tray corrected (deg),Declination background &amp; tray corrected (deg),Intensity background &amp; tray corrected (A/m),Inclination raw (deg),Declination raw (deg),Intensity raw (A/m),Magnetic moment x (Am&sup2;),Magnetic moment y (Am&sup2;),Magnetic moment z (Am&sup2;),Sample orientation,Raw data,Timestamp (UTC),Instrument,Text ID,Test No.,Comments
XXX,UTEST,A,1,H,1,A,105,1.05,1.041,5,68.5,6.3,0.02528,68.5,6.2,0.025279,8.73E-07,9.63E-08,3.64E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,110,1.1,1.09,5,69.3,359.7,0.015016,69.4,359.4,0.015018,5.01E-07,-5.46E-09,2.17E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,115,1.15,1.14,5,66.5,0.9,0.014842,66.5,0.6,0.014844,5.60E-07,5.98E-09,2.11E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,120,1.2,1.19,5,69.5,1.4,0.016757,69.5,1.1,0.016756,5.54E-07,1.09E-08,2.43E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,125,1.25,1.239,5,72.5,12.8,0.015762,72.5,12.5,0.01576,4.37E-07,9.90E-08,2.33E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,130,1.3,1.289,5,70.8,17.2,0.020511,70.8,16.9,0.020506,6.10E-07,1.90E-07,3.00E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,135,1.35,1.338,5,70.1,11.8,0.027747,70.1,11.6,0.027742,8.74E-07,1.84E-07,4.04E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,140,1.4,1.388,5,69.5,3.7,0.034445,69.5,3.5,0.034444,1.14E-06,7.13E-08,4.99E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,145,1.45,1.437,5,70.8,351.6,0.032735,70.8,351.5,0.03274,1.01E-06,-1.55E-07,4.78E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,150,1.5,1.487,5,69.6,344.3,0.024785,69.6,344.1,0.024798,7.86E-07,-2.29E-07,3.60E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,0,0,0,0,-38.3,92,0.025481,-38.2,92,0.025518,-6.69E-08,1.94E-06,-2.44E-06,Single Line,28991911,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,5,0.05,0.05,0,72.8,317.1,0.015005,72.8,317,0.015008,3.07E-07,-2.93E-07,2.22E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,10,0.1,0.099,0,22,280.5,0.04171,22,280.5,0.041727,6.69E-07,-3.68E-06,2.42E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,15,0.15,0.149,0,38.5,259.6,0.023228,38.5,259.6,0.023243,-3.10E-07,-1.73E-06,2.24E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,20,0.2,0.198,0,-65,335.3,0.0099279,-64.9,335,0.0099284,3.61E-07,-1.72E-07,-1.39E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,25,0.25,0.248,0,4.8,276.9,0.053782,4.8,276.9,0.053802,6.13E-07,-5.15E-06,7.00E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,30,0.3,0.297,0,49,251.7,0.018729,49,251.7,0.018746,-3.66E-07,-1.13E-06,2.19E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,35,0.35,0.347,0,56.5,341.2,0.024565,56.5,341.1,0.024566,1.22E-06,-4.26E-07,3.17E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,40,0.4,0.396,0,61.7,346.7,0.017519,61.7,346.5,0.017519,7.64E-07,-1.87E-07,2.39E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,45,0.45,0.446,0,27,212.3,0.016616,27,212.4,0.016637,-1.18E-06,-7.69E-07,1.17E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,50,0.5,0.496,0,59.2,267,0.025795,59.1,266.9,0.025812,-6.68E-08,-1.28E-06,3.43E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,55,0.55,0.545,0,76.5,3.6,0.034625,76.5,3.3,0.034621,7.65E-07,4.58E-08,5.21E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,60,0.6,0.595,0,75.2,25.3,0.054559,75.2,25.2,0.054554,1.19E-06,5.74E-07,8.16E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,65,0.65,0.644,0,75.8,25,0.07758,75.8,25,0.077573,1.63E-06,7.76E-07,1.16E-05,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,70,0.7,0.694,0,75.4,20.5,0.076982,75.4,20.4,0.076976,1.72E-06,6.54E-07,1.15E-05,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,75,0.75,0.743,0,78.4,357.5,0.057156,78.5,357.3,0.057155,1.08E-06,-5.27E-08,8.66E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,80,0.8,0.793,0,85.9,30.4,0.039428,86,29.7,0.039427,2.26E-07,1.32E-07,6.08E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,85,0.85,0.843,0,83,82.8,0.033006,83.1,82.9,0.033002,4.63E-08,3.83E-07,5.07E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,90,0.9,0.892,0,78.7,26.1,0.036554,78.8,25.8,0.036549,6.06E-07,2.99E-07,5.55E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,95,0.95,0.942,0,73.2,17.1,0.049116,73.2,16.9,0.04911,1.28E-06,3.98E-07,7.27E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,100,1,0.991,0,76.4,13.8,0.054524,76.4,13.6,0.054519,1.18E-06,2.91E-07,8.20E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,105,1.05,1.041,0,80,7,0.038803,80,6.5,0.038801,6.33E-07,7.42E-08,5.91E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,110,1.1,1.09,0,78.8,0.6,0.023246,78.9,359.9,0.023247,4.24E-07,-8.11E-10,3.53E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,115,1.15,1.14,0,74.2,4.1,0.024816,74.2,3.6,0.024816,6.37E-07,4.08E-08,3.69E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,120,1.2,1.19,0,79.3,6.9,0.026299,79.4,6.2,0.026298,4.55E-07,5.10E-08,4.00E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,125,1.25,1.239,0,79.7,15.2,0.025339,79.8,14.5,0.025335,4.11E-07,1.09E-07,3.86E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,130,1.3,1.289,0,76.7,21.8,0.033817,76.8,21.4,0.033808,6.82E-07,2.73E-07,5.09E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,135,1.35,1.338,0,76,15.8,0.046239,76.1,15.5,0.046229,1.02E-06,2.88E-07,6.94E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,140,1.4,1.388,0,76,7.1,0.057778,76,6.8,0.057773,1.31E-06,1.61E-07,8.67E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,145,1.45,1.437,0,79.1,348.7,0.055054,79.1,348.3,0.055056,9.67E-07,-2.04E-07,8.36E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,150,1.5,1.487,0,79.4,335.5,0.040547,79.4,334.9,0.04056,6.40E-07,-3.06E-07,6.17E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372831,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,0,0,0,10,-23.8,100.3,0.014697,-23.7,100.3,0.014747,-2.28E-07,1.29E-06,-9.17E-07,Single Line,28991921,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,5,0.05,0.05,10,21.6,133.6,0.005887,21.6,133.6,0.0058931,-3.58E-07,3.84E-07,3.36E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,10,0.1,0.099,10,19.2,295.9,0.024459,19.2,295.8,0.024466,9.53E-07,-2.01E-06,1.24E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,15,0.15,0.149,10,19.4,291.5,0.022053,19.4,291.5,0.022059,7.23E-07,-1.87E-06,1.13E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,20,0.2,0.198,10,48,305.6,0.0089557,48,305.5,0.0089607,3.30E-07,-4.72E-07,1.03E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,25,0.25,0.248,10,7.5,326.4,0.0084685,7.5,326.3,0.0084719,6.61E-07,-4.51E-07,1.70E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,30,0.3,0.297,10,28.3,312.9,0.0063291,28.3,312.9,0.0063332,3.59E-07,-3.96E-07,4.64E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,35,0.35,0.347,10,34.7,323.6,0.010199,34.7,323.6,0.010202,6.38E-07,-4.82E-07,8.99E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,40,0.4,0.396,10,23.3,309.7,0.010108,23.2,309.7,0.010115,5.61E-07,-6.92E-07,6.17E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,45,0.45,0.446,10,73.7,152.6,0.0044874,73.7,153.1,0.0044873,-1.06E-07,5.51E-08,6.66E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,50,0.5,0.496,10,80.4,245.1,0.0062942,80.3,245.3,0.0062963,-4.19E-08,-9.31E-08,9.60E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,55,0.55,0.545,10,52.5,347.7,0.0090396,52.5,347.6,0.0090398,5.09E-07,-1.14E-07,1.11E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,60,0.6,0.595,10,51.4,9.8,0.011965,51.5,9.7,0.011963,6.95E-07,1.22E-07,1.45E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,65,0.65,0.644,10,49,10.6,0.018334,49,10.5,0.018331,1.12E-06,2.13E-07,2.14E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,70,0.7,0.694,10,42.4,22.7,0.022615,42.4,22.7,0.02261,1.46E-06,6.23E-07,2.36E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,75,0.75,0.743,10,41.4,8.7,0.017209,41.4,8.7,0.017206,1.21E-06,1.88E-07,1.76E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,80,0.8,0.793,10,56.2,358.5,0.0089162,56.2,358.4,0.0089158,4.69E-07,-1.35E-08,1.15E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,85,0.85,0.843,10,74.7,358.7,0.0053988,74.8,358.1,0.0053999,1.34E-07,-4.54E-09,8.06E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,90,0.9,0.892,10,56.6,10.7,0.0072616,56.6,10.5,0.0072609,3.72E-07,7.07E-08,9.38E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,95,0.95,0.942,10,42.8,10.2,0.012832,42.8,10.1,0.012831,8.77E-07,1.60E-07,1.35E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,100,1,0.991,10,42.6,8.4,0.016567,42.7,8.3,0.016564,1.14E-06,1.71E-07,1.74E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,105,1.05,1.041,10,44.2,8.2,0.013131,44.2,8.1,0.013129,8.81E-07,1.28E-07,1.42E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,110,1.1,1.09,10,47.4,2.5,0.0081873,47.5,2.3,0.0081879,5.23E-07,2.19E-08,9.33E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,115,1.15,1.14,10,49.1,357.4,0.0073488,49.2,357.2,0.0073484,4.54E-07,-2.30E-08,8.61E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,120,1.2,1.19,10,49.5,359.4,0.0083572,49.5,359.2,0.0083551,5.13E-07,-7.48E-09,9.83E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,125,1.25,1.239,10,53,13.2,0.0075152,53,12.9,0.0075111,4.16E-07,9.78E-08,9.28E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,130,1.3,1.289,10,52.9,13.8,0.0086426,53,13.6,0.0086369,4.78E-07,1.18E-07,1.07E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,135,1.35,1.338,10,51,6.6,0.011346,51,6.4,0.011341,6.71E-07,7.72E-08,1.36E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,140,1.4,1.388,10,48.1,358.4,0.013418,48.1,358.3,0.013418,8.48E-07,-2.55E-08,1.55E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,145,1.45,1.437,10,44.9,350.9,0.012516,44.9,350.8,0.012525,8.29E-07,-1.37E-07,1.37E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,150,1.5,1.487,10,40,349.7,0.010586,40,349.5,0.0106,7.55E-07,-1.43E-07,1.06E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372841,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,0,0,0,15,-10.8,103.5,0.012324,-10.7,103.3,0.01238,-2.65E-07,1.15E-06,-3.56E-07,Single Line,28991931,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,5,0.05,0.05,15,38.7,129.7,0.0082572,38.7,129.7,0.0082638,-3.90E-07,4.81E-07,7.98E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,10,0.1,0.099,15,21.4,302.1,0.022184,21.4,302.1,0.02219,1.04E-06,-1.69E-06,1.25E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,15,0.15,0.149,15,23.4,300.7,0.017075,23.4,300.7,0.017079,7.57E-07,-1.30E-06,1.05E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,20,0.2,0.198,15,43.8,336.5,0.0065386,43.8,336.4,0.0065401,4.09E-07,-1.83E-07,7.00E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,25,0.25,0.248,15,7.6,323.2,0.00753,7.6,323.1,0.0075329,5.65E-07,-4.33E-07,1.54E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,30,0.3,0.297,15,25.7,316.9,0.0060963,25.7,316.8,0.006099,3.79E-07,-3.64E-07,4.10E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,35,0.35,0.347,15,32.3,322.7,0.0092695,32.3,322.6,0.0092719,5.89E-07,-4.60E-07,7.67E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,40,0.4,0.396,15,34,315.2,0.006425,34,315.1,0.0064292,3.57E-07,-3.64E-07,5.56E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,45,0.45,0.446,15,68,134.1,0.0039569,68.1,134.4,0.0039557,-9.76E-08,1.02E-07,5.68E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,50,0.5,0.496,15,82.4,353.5,0.0044483,82.4,352.6,0.0044486,5.50E-08,-7.31E-09,6.82E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,55,0.55,0.545,15,44.5,352,0.0064349,44.5,351.9,0.0064341,4.30E-07,-6.25E-08,6.98E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,60,0.6,0.595,15,41.8,9,0.0084998,41.8,8.9,0.0084971,5.92E-07,9.52E-08,8.77E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,65,0.65,0.644,15,38.4,13.3,0.012822,38.4,13.2,0.012817,9.25E-07,2.22E-07,1.23E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,70,0.7,0.694,15,31.5,23.6,0.016173,31.5,23.6,0.016167,1.20E-06,5.34E-07,1.31E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,75,0.75,0.743,15,30.5,7.5,0.012337,30.5,7.5,0.012333,9.97E-07,1.34E-07,9.68E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,80,0.8,0.793,15,45.4,358.8,0.0056835,45.5,358.7,0.0056818,3.77E-07,-9.02E-09,6.27E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,85,0.85,0.843,15,64.1,352.9,0.0031609,64.1,352.4,0.0031613,1.29E-07,-1.77E-08,4.40E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,90,0.9,0.892,15,44,10.2,0.0054412,44,10.1,0.0054392,3.65E-07,6.61E-08,5.84E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,95,0.95,0.942,15,33.7,9.2,0.010265,33.8,9.1,0.010263,7.97E-07,1.31E-07,8.82E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,100,1,0.991,15,35.1,8.3,0.012692,35.2,8.2,0.012688,9.72E-07,1.43E-07,1.13E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,105,1.05,1.041,15,36,8.9,0.01012,36,8.8,0.010117,7.65E-07,1.21E-07,9.20E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372851,Auto-Log Split Section
