tab 	samples
azimuth	bed_dip	bed_dip_direction	citations	dip	sample	site
0.0	0	90	This study	0.0	318-u1356a-76r-1-w-36	318-u1356a-76r-1-w-36
0.0	0	90	This study	0.0	318-u1356a-76r-3-w-91	318-u1356a-76r-3-w-91
0.0	0	90	This study	0.0	318-u1356a-76r-5-w-24	318-u1356a-76r-5-w-24
0.0	0	90	This study	0.0	318-u1356a-76r-6-w-7	318-u1356a-76r-6-w-7
0.0	0	90	This study	0.0	318-u1356a-78r-1-w-88	318-u1356a-78r-1-w-88
0.0	0	90	This study	0.0	318-u1356a-78r-2-w-78	318-u1356a-78r-2-w-78
0.0	0	90	This study	0.0	318-u1356a-78r-3-w-64	318-u1356a-78r-3-w-64
0.0	0	90	This study	0.0	318-u1356a-78r-4-w-99	318-u1356a-78r-4-w-99
0.0	0	90	This study	0.0	+318-u1356a-79r-1-w-60	+318-u1356a-79r-1-w-60
0.0	0	90	This study	0.0	318-u1356a-79r-2-w-90	318-u1356a-79r-2-w-90
0.0	0	90	This study	0.0	318-u1356a-79r-3-w-98	318-u1356a-79r-3-w-98
0.0	0	90	This study	0.0	318-u1356a-79r-4-w-110	318-u1356a-79r-4-w-110
0.0	0	90	This study	0.0	318-u1356a-79r-5-w-79	318-u1356a-79r-5-w-79
0.0	0	90	This study	0.0	318-u1356a-79r-6-w-32	318-u1356a-79r-6-w-32
0.0	0	90	This study	0.0	318-u1356a-82r-1-w-100	318-u1356a-82r-1-w-100
0.0	0	90	This study	0.0	318-u1356a-82r-2-w-11	318-u1356a-82r-2-w-11
0.0	0	90	This study	0.0	318-u1356a-82r-4-w-102	318-u1356a-82r-4-w-102
0.0	0	90	This study	0.0	318-u1356a-82r-5-w-30	318-u1356a-82r-5-w-30
0.0	0	90	This study	0.0	318-u1356a-82r-6-w-27	318-u1356a-82r-6-w-27
0.0	0	90	This study	0.0	318-u1356a-84r-1-w-42	318-u1356a-84r-1-w-42
0.0	0	90	This study	0.0	318-u1356a-84r-3-w-29	318-u1356a-84r-3-w-29
0.0	0	90	This study	0.0	318-u1356a-84r-6-w-66	318-u1356a-84r-6-w-66
0.0	0	90	This study	0.0	318-u1356a-85r-1-w-37	318-u1356a-85r-1-w-37
0.0	0	90	This study	0.0	318-u1356a-85r-2-w-89	318-u1356a-85r-2-w-89
0.0	0	90	This study	0.0	318-u1356a-86r-2-w-66	318-u1356a-86r-2-w-66
0.0	0	90	This study	0.0	318-u1356a-86r-5-w-118	318-u1356a-86r-5-w-118
0.0	0	90	This study	0.0	318-u1356a-88r-1-w-36	318-u1356a-88r-1-w-36
0.0	0	90	This study	0.0	318-u1356a-88r-2-w-52	318-u1356a-88r-2-w-52
0.0	0	90	This study	0.0	318-u1356a-89r-1-w-89	318-u1356a-89r-1-w-89
0.0	0	90	This study	0.0	318-u1356a-89r-2-w-71	318-u1356a-89r-2-w-71
0.0	0	90	This study	0.0	318-u1356a-89r-3-w-121	318-u1356a-89r-3-w-121
0.0	0	90	This study	0.0	318-u1356a-89r-4-w-57	318-u1356a-89r-4-w-57
0.0	0	90	This study	0.0	318-u1356a-89r-5-w-76	318-u1356a-89r-5-w-76
0.0	0	90	This study	0.0	318-u1356a-91r-2-w-32	318-u1356a-91r-2-w-32
0.0	0	90	This study	0.0	318-u1356a-91r-3-w-36	318-u1356a-91r-3-w-36
0.0	0	90	This study	0.0	318-u1356a-91r-4-w-1	318-u1356a-91r-4-w-1
0.0	0	90	This study	0.0	318-u1356a-91r-5-w-5	318-u1356a-91r-5-w-5
0.0	0	90	This study	0.0	318-u1356a-91r-6-w-48	318-u1356a-91r-6-w-48
0.0	0	90	This study	0.0	318-u1356a-91r-7-w-25	318-u1356a-91r-7-w-25
0.0	0	90	This study	0.0	318-u1356a-92r-1-w-23	318-u1356a-92r-1-w-23
0.0	0	90	This study	0.0	318-u1356a-92r-2-w-9	318-u1356a-92r-2-w-9
0.0	0	90	This study	0.0	318-u1356a-92r-3-w-11	318-u1356a-92r-3-w-11
0.0	0	90	This study	0.0	318-u1356a-94r-2-w-25	318-u1356a-94r-2-w-25
0.0	0	90	This study	0.0	318-u1356a-94r-3-w-19	318-u1356a-94r-3-w-19
0.0	0	90	This study	0.0	318-u1356a-98r-2-w-100	318-u1356a-98r-2-w-100
0.0	0	90	This study	0.0	318-u1356a-98r-4-w-24	318-u1356a-98r-4-w-24
0.0	0	90	This study	0.0	318-u1356a-99r-1-w-28	318-u1356a-99r-1-w-28
0.0	0	90	This study	0.0	principa318-u1356a-103r-3-w-13	principa318-u1356a-103r-3-w-13
0.0	0	90	This study	0.0	318-u1356a-103r-1-w-66	318-u1356a-103r-1-w-66
0.0	0	90	This study	0.0	318-u1356a-103r-4-w-125	318-u1356a-103r-4-w-125
0.0	0	90	This study	0.0	318-u1356a-104r-5-w-131	318-u1356a-104r-5-w-131
0.0	0	90	This study	0.0	318-u1356a-106r-2-w-61	318-u1356a-106r-2-w-61
