tab 	specimens
analysts	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	citations	experiments	instrument_codes	location	method_codes	result_quality	sample	site	specimen	volume
	0.3341999948:0.3355999887:0.3300999999:0.0001000000:0.0003000000:-0.0002000000	15	0.0018	SI	0	AMS	This study	318-U1356A-1R-3-W-21:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-3-W-21	318-U1356A-1R-3-W-21	318-U1356A-1R-3-W-21	
	0.3331:0.3354:0.3315:0.0008:0.0000:0.0001	15	0.0008	SI	-1	AMS	This study	318-U1356A-1R-3-W-21:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-3-W-21	318-U1356A-1R-3-W-21	318-U1356A-1R-3-W-21	
	0.3330999911:0.3353999853:0.3314999938:0.0008000000:0.0000000000:0.0001000000	15	0.0008	SI	0	AMS	This study	318-U1356A-1R-3-W-21:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-3-W-21	318-U1356A-1R-3-W-21	318-U1356A-1R-3-W-21	
							This study			U1356A			318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	7.000e-06
	0.3336:0.3331:0.3332:0.0001:-0.0002:0.0002	15	0.0008	SI	-1	AMS	This study	318-U1356A-2R-6-W-72:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	
	0.3336000144:0.3330999911:0.3332000077:0.0001000000:-0.0002000000:0.0002000000	15	0.0008	SI	0	AMS	This study	318-U1356A-2R-6-W-72:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	
	0.3336:0.3340:0.3324:0.0001:0.0003:0.0002	15	0.0003	SI	-1	AMS	This study	318-U1356A-2R-6-W-72:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	
	0.3336000144:0.3339999914:0.3323999941:0.0001000000:0.0003000000:0.0002000000	15	0.0003	SI	0	AMS	This study	318-U1356A-2R-6-W-72:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	
	0.3334:0.3337:0.3330:-0.0001:0.0004:0.0001	15	0.0007	SI	-1	AMS	This study	318-U1356A-2R-6-W-72:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	
	0.3334000111:0.3337000012:0.3330000043:-0.0001000000:0.0004000000:0.0001000000	15	0.0007	SI	0	AMS	This study	318-U1356A-2R-6-W-72:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	318-U1356A-2R-6-W-72	
