tab 	measurements
analysts	citations	description	experiment	instrument_codes	method_codes	quality	specimen	standard	susc_chi_volume
	This study	Bulk sucsecptibility measurement	318-u1356a-14r-2-w-52_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-2-w-52	u	293.2E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-14r-2-w-52_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-2-w-52	u	294.6E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-14r-3-w-137_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-3-w-137	u	238.9E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-14r-3-w-137_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-3-w-137	u	240.0E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-14r-3-w-137_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-3-w-137	u	237.8E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-14r-3-w-137_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-3-w-137	u	237.4E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-14r-2-w-52_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-2-w-52	u	307.1E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-18r-2-w-128_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-2-w-128	u	214.0E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-14r-5-w-18_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-5-w-18	u	334.9E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-14r-5-w-18_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-5-w-18	u	347.8E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-14r-5-w-18_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-5-w-18	u	330.3E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-15r-5-w-38_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-5-w-38	u	175.0E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-15r-5-w-38_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-5-w-38	u	173.1E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-15r-5-w-38_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-5-w-38	u	175.3E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-15r-6-w-56_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-6-w-56	u	196.8E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-15r-6-w-56_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-6-w-56	u	193.3E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-15r-6-w-56_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-6-w-56	u	195.4E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-17r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-1-w-118	u	322.2E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-17r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-1-w-118	u	319.1E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-17r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-1-w-118	u	315.3E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-17r-2-w-123_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-2-w-123	u	387.1E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-17r-2-w-123_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-2-w-123	u	404.9E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-17r-2-w-123_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-2-w-123	u	392.3E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-17r-3-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-3-w-70	u	426.3E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-17r-3-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-3-w-70	u	424.6E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-17r-3-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-3-w-70	u	421.6E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-17r-4-w-85_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-4-w-85	u	216.5E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-17r-4-w-85_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-4-w-85	u	215.8E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-17r-4-w-85_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-4-w-85	u	215.2E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-18r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-1-w-118	u	188.4E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-18r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-1-w-118	u	191.3E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-18r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-1-w-118	u	186.9E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-20r-1-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-1-w-70	u	238.1E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-20r-1-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-1-w-70	u	237.8E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-20r-1-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-1-w-70	u	237.5E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-20r-1-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-1-w-70	u	238.1E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-20r-1-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-1-w-70	u	239.5E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	u	203.1E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	u	209.6E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	u	209.7E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	u	217.2E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	u	203.2E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	u	206.7E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-22r-1-w-142_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-1-w-142	u	359.3E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-22r-1-w-142_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-1-w-142	u	371.7E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-22r-1-w-142_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-1-w-142	u	366.4E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-22r-1-w-142_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-1-w-142	u	364.0E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-22r-1-w-142_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-1-w-142	u	361.5E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-22r-2-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-2-w-40	u	209.1E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-22r-2-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-2-w-40	u	210.0E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-22r-2-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-2-w-40	u	209.7E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-22r-2-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-2-w-40	u	210.2E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-22r-2-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-2-w-40	u	204.7E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-22r-2-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-2-w-40	u	208.4E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-22r-2-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-2-w-40	u	208.8E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-22r-2-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-2-w-40	u	209.2E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-23r-1-w-107_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-23r-1-w-107	u	281.1E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-23r-1-w-107_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-23r-1-w-107	u	281.9E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-23r-1-w-107_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-23r-1-w-107	u	280.5E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-23r-1-w-107_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-23r-1-w-107	u	282.7E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-23r-1-w-107_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-23r-1-w-107	u	279.7E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-24r-1-w-98_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-24r-1-w-98	u	317.0E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-24r-1-w-98_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-24r-1-w-98	u	315.3E-06
