tab	measurements
analysts	citations	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
Elliot Hurst	This study	188.95	-77.9	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	5.816e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_23	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	24	ATPIPV04-1A	u	9999:99:99:99:99		3e-05	0	90	23	913.0
Elliot Hurst	This study	175.29	-79.01	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	5.691e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_24	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	25	ATPIPV04-1A	u	9999:99:99:99:99		3e-05	0	90	24	933.0
Elliot Hurst	This study	189.54	-28.96	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.2460000000000002e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_25	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	26	ATPIPV04-1A	u	9999:99:99:99:99		0.0	0	90	25	933.0
Elliot Hurst	This study	192.8	-78.78	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	5.172e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_26	LT-PTRM-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	27	ATPIPV04-1A	u	9999:99:99:99:99		3e-05	0	90	26	893.0
Elliot Hurst	This study	180.58	-22.95	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.43e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_0	LT-NO:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	28	ATPIPV04-6A	u	9999:99:99:99:99		0.0	0	90	0	273.0
Elliot Hurst	This study	183.1	-22.98	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.411e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_1	LT-AF-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	29	ATPIPV04-6A	u	9999:99:99:99:99	0.005	0.0	0	90	1	273.0
Elliot Hurst	This study	184.54	-23.27	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.197e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_2	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	30	ATPIPV04-6A	u	9999:99:99:99:99		0.0	0	90	2	673.0
Elliot Hurst	This study	184.06	-34.19	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.314e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_3	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	31	ATPIPV04-6A	u	9999:99:99:99:99		3e-05	0	90	3	673.0
Elliot Hurst	This study	182.75	-45.53	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.359e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_4	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	32	ATPIPV04-6A	u	9999:99:99:99:99		3e-05	0	90	4	773.0
Elliot Hurst	This study	181.42	-29.58	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.089e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_5	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	33	ATPIPV04-6A	u	9999:99:99:99:99		0.0	0	90	5	773.0
