isaf2.fix       
LAT:   .00  LON:    .00
    ID     TREAT  I  CD    J    CDECL CINCL  GDECL GINCL  BDECL BINCL  SUSC  M/V
is032d2    120.0  SD  0 60.1872 176.6 -18.4  355.5  44.5  350.8  46.5    .0   .0
is032d2    150.0  SD  0 51.3890 174.3 -18.7  352.5  44.0  347.8  45.8    .0   .0
is032d2    180.0  SD  2 43.9678 172.3 -18.5  349.8  43.9  345.2  45.5    .0   .0

is032f1       .0  SD  0 189.899 204.2  -0.1  359.0  48.3  353.8  50.6    .0   .0
is032f1      2.5  SD  0 189.245 203.5  -0.2  358.0  48.5  352.7  50.7    .0   .0
is032f1      5.0  SD  1 185.900 205.7  -0.7    0.5  47.0  355.6  49.4    .0   .0
is032f1      7.5  SD  0 181.094 202.6  -1.3  356.0  48.0  350.8  50.1    .0   .0
is032f1     10.0  SD  1 175.300 204.3  -1.9  357.8  46.6  352.9  48.9    .0   .0
is032f1     12.5  SD  0 169.799 204.3  -2.3  357.5  46.3  352.6  48.5    .0   .0
is032f1     15.0  SD  1 163.800 204.9  -3.0  357.8  45.4  353.1  47.6    .0   .0
is032f1     20.0  SD  1 150.200 203.9  -3.7  356.1  45.3  351.3  47.4    .0   .0
is032f1     25.0  SD  1 138.000 206.0  -4.3  358.2  43.7  353.8  46.0    .0   .0
is032f1     30.0  SD  1 125.500 205.7  -5.2  357.3  43.1  352.9  45.3    .0   .0
is032f1     40.0  SD  0 102.349 204.7  -5.3  356.0  43.5  351.5  45.6    .0   .0
is032f1     60.0  SD  0 76.4479 204.6  -5.6  355.7  43.3  351.2  45.3    .0   .0
is032f1     80.0  SD  1 63.3003 205.0  -6.0  355.9  42.7  351.5  44.8    .0   .0
is032f1    100.0  SD  1 46.3861 203.6  -6.0  354.2  43.4  349.7  45.3    .0   .0
is032f1    120.0  SD  0 42.4348 202.8  -6.1  353.2  43.6  348.6  45.5    .0   .0
is032f1    150.0  SD  0 37.4395 202.0  -5.9  352.3  44.1  347.6  45.9    .0   .0
