tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	external_database_ids	instrument_codes	magn_moment	magn_volume	meas_field_ac	meas_n_orient	meas_temp	measurement	method_codes	quality	software_packages	specimen	standard	susc_chi_volume	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
	This study	sample orientation: Top - Towards	0	5.2	46.2	XXX-UTESTA-8H-4_W_89:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	1.127e-08				2.730e+02	2	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-4_W_89	u			5.000e-03	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	5	26.5	XXX-UTESTA-8H-4_W_89:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	8.337e-09				2.730e+02	3	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-4_W_89	u			1.000e-02	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	2.9	-5.4	XXX-UTESTA-8H-4_W_89:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	6.746e-09				2.730e+02	4	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-4_W_89	u			1.500e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	55.6	344.4	16.4	XXX-UTESTA-8H-4_W_89:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	4.423e-09			3.0	2.730e+02	5	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-4_W_89	u			2.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	56.2	332.1	1.6	XXX-UTESTA-8H-4_W_89:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	3.992e-09			3.0	2.730e+02	6	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-4_W_89	u			2.500e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	28.5	10.6	1.6	XXX-UTESTA-8H-4_W_89:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	3.203e-09			3.0	2.730e+02	7	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-4_W_89	u			3.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	31.6	358.2	-10.0	XXX-UTESTA-8H-4_W_89:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	2.532e-09			3.0	2.730e+02	8	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-4_W_89	u			4.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	33.6	352.5	-14.4	XXX-UTESTA-8H-4_W_89:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	2.373e-09			3.0	2.730e+02	9	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-4_W_89	u			5.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	47.1	342.9	-27.9	XXX-UTESTA-8H-4_W_89:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	2.078e-09			3.0	2.730e+02	10	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-4_W_89	u			6.000e-02	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	29.8	79.1	XXX-UTESTA-8H-5_W_37:LP-DIR-AF		IODP-SRM	1.035e-08				2.730e+02	1	LT-NO:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-5_W_37	u			0.000e+00	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	33.1	72.2	XXX-UTESTA-8H-5_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	7.759e-09				2.730e+02	2	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-5_W_37	u			5.000e-03	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	31.7	66.5	XXX-UTESTA-8H-5_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	5.381e-09				2.730e+02	3	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-5_W_37	u			1.000e-02	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	25.5	11.4	XXX-UTESTA-8H-5_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	1.867e-09				2.730e+02	4	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-5_W_37	u			1.500e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	35.7	51.9	46.4	XXX-UTESTA-8H-5_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	3.338e-09			3.0	2.730e+02	5	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-5_W_37	u			2.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	26.9	52.1	25.5	XXX-UTESTA-8H-5_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	2.457e-09			3.0	2.730e+02	6	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-5_W_37	u			2.500e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	24.3	54.0	22.3	XXX-UTESTA-8H-5_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	2.056e-09			3.0	2.730e+02	7	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-5_W_37	u			3.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	13.9	46.9	-6.6	XXX-UTESTA-8H-5_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	1.241e-09			3.0	2.730e+02	8	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-5_W_37	u			4.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	28.3	38.3	-13.6	XXX-UTESTA-8H-5_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	1.035e-09			3.0	2.730e+02	9	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-5_W_37	u			5.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	51.6	23.1	-27.0	XXX-UTESTA-8H-5_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	1.035e-09			3.0	2.730e+02	10	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-5_W_37	u			6.000e-02	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	8.8	78.9	XXX-UTESTA-8H-6_W_37:LP-DIR-AF		IODP-SRM	2.514e-08				2.730e+02	1	LT-NO:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-6_W_37	u			0.000e+00	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	28.4	75.4	XXX-UTESTA-8H-6_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	1.874e-08				2.730e+02	2	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-6_W_37	u			5.000e-03	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	19.8	70.6	XXX-UTESTA-8H-6_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	9.630e-09				2.730e+02	3	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-6_W_37	u			1.000e-02	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	4.7	42.9	XXX-UTESTA-8H-6_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	3.248e-09				2.730e+02	4	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-6_W_37	u			1.500e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	37.8	18.5	41.7	XXX-UTESTA-8H-6_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	4.070e-09			3.0	2.730e+02	5	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-6_W_37	u			2.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	32.8	31.2	26.8	XXX-UTESTA-8H-6_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	2.188e-09			3.0	2.730e+02	6	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-6_W_37	u			2.500e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	32.0	23.4	17.8	XXX-UTESTA-8H-6_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	1.821e-09			3.0	2.730e+02	7	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-6_W_37	u			3.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	41.3	8.0	-12.4	XXX-UTESTA-8H-6_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	1.370e-09			3.0	2.730e+02	8	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-6_W_37	u			4.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	55.8	8.6	-9.6	XXX-UTESTA-8H-6_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	1.387e-09			3.0	2.730e+02	9	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-6_W_37	u			5.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	61.0	351.7	-29.3	XXX-UTESTA-8H-6_W_37:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	1.838e-09			3.0	2.730e+02	10	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-6_W_37	u			6.000e-02	0	0	0	2.730e+02
	This study			92	-38.3	XXX-UTESTA-001H_1A-0:LP-DIR-AF	LIMS	IODP-SRM	3.972e-07				2.730e+02	1	LT-NO:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-0	u		2015-04-10T06:45:00Z	0.000e+00	0	0	0	2.730e+02
	This study			93.8	-41.1	XXX-UTESTA-001H_1A-0:LP-DIR-AF	LIMS	IODP-SRM:IODP-SRM-AF	3.597e-07				2.730e+02	2	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-0	u		2015-04-10T06:45:00Z	5.000e-03	0	0	0	2.730e+02
	This study			100.3	-23.8	XXX-UTESTA-001H_1A-0:LP-DIR-AF	LIMS	IODP-SRM:IODP-SRM-AF	2.291e-07				2.730e+02	3	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-0	u		2015-04-10T06:45:00Z	1.000e-02	0	0	0	2.730e+02
	This study			103.5	-10.8	XXX-UTESTA-001H_1A-0:LP-DIR-AF	LIMS	IODP-SRM:IODP-SRM-AF	1.921e-07				2.730e+02	4	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-0	u		2015-04-10T06:45:00Z	1.500e-02	0	0	0	2.730e+02
	This study			105	-3.8	XXX-UTESTA-001H_1A-0:LP-DIR-AF	LIMS	IODP-SRM:IODP-SRM-AF	1.718e-07				2.730e+02	5	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-0	u		2015-04-10T06:46:00Z	2.000e-02	0	0	0	2.730e+02
	This study			280.5	22	XXX-UTESTA-001H_1A-10:LP-DIR-AF	LIMS	IODP-SRM	6.503e-07				2.730e+02	1	LT-NO:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-10	u		2015-04-10T06:45:00Z	0.000e+00	0	0	0	2.730e+02
	This study			290.8	22.2	XXX-UTESTA-001H_1A-10:LP-DIR-AF	LIMS	IODP-SRM:IODP-SRM-AF	4.710e-07				2.730e+02	2	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-10	u		2015-04-10T06:45:00Z	5.000e-03	0	0	0	2.730e+02
	This study			295.9	19.2	XXX-UTESTA-001H_1A-10:LP-DIR-AF	LIMS	IODP-SRM:IODP-SRM-AF	3.813e-07				2.730e+02	3	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-10	u		2015-04-10T06:45:00Z	1.000e-02	0	0	0	2.730e+02
	This study			302.1	21.4	XXX-UTESTA-001H_1A-10:LP-DIR-AF	LIMS	IODP-SRM:IODP-SRM-AF	3.458e-07				2.730e+02	4	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-001H_1A-10	u		2015-04-10T06:45:00Z	1.500e-02	0	0	0	2.730e+02
