tab 	measurements
experiment	instrument_codes	magn_mass	magn_r2_det	meas_field_dc	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	timestamp	treat_dc_field
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1423		0.6581	300.0	IRM-VSM3-LP-HYS-218845-71	LP-HYS	g	12481	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1414		0.6531	300.0	IRM-VSM3-LP-HYS-218845-72	LP-HYS	g	12482	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1406		0.648	300.0	IRM-VSM3-LP-HYS-218845-73	LP-HYS	g	12483	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1397		0.643	300.0	IRM-VSM3-LP-HYS-218845-74	LP-HYS	g	12484	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1389		0.6381	300.0	IRM-VSM3-LP-HYS-218845-75	LP-HYS	g	12485	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1381		0.6331	300.0	IRM-VSM3-LP-HYS-218845-76	LP-HYS	g	12486	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1372		0.628	300.0	IRM-VSM3-LP-HYS-218845-77	LP-HYS	g	12487	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1364		0.623	300.0	IRM-VSM3-LP-HYS-218845-78	LP-HYS	g	12488	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1356		0.618	300.0	IRM-VSM3-LP-HYS-218845-79	LP-HYS	g	12489	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1348		0.6129	300.0	IRM-VSM3-LP-HYS-218845-80	LP-HYS	g	1249	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.134		0.6079	300.0	IRM-VSM3-LP-HYS-218845-81	LP-HYS	g	12491	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1331		0.6029	300.0	IRM-VSM3-LP-HYS-218845-82	LP-HYS	g	12492	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1323		0.5979	300.0	IRM-VSM3-LP-HYS-218845-83	LP-HYS	g	12493	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1315		0.5929	300.0	IRM-VSM3-LP-HYS-218845-84	LP-HYS	g	12494	NED1-5c	u	2020:01:06:10:14:00.00	
